"beach_name","measurement_timestamp","water_temperature","turbidity","transducer_depth","wave_height","wave_period","battery_life","measurement_timestamp_label","measurement_id"
"Ohio Street Beach","2024-05-08T08:00:00.000","23.1","0.87",,"0","6.4","12.3","05/08/2024 8:00 AM","OhioStreetBeach202405080800"
"Ohio Street Beach","2024-05-08T07:00:00.000","22.5","1.13",,"0","6.4","12","05/08/2024 7:00 AM","OhioStreetBeach202405080700"
"Ohio Street Beach","2024-05-08T06:00:00.000","22.4","0.97",,"0","6.7","12","05/08/2024 6:00 AM","OhioStreetBeach202405080600"
"Ohio Street Beach","2024-05-08T05:00:00.000","22.4","1.36",,"0","6.5","11.4","05/08/2024 5:00 AM","OhioStreetBeach202405080500"
"Ohio Street Beach","2024-05-08T04:00:00.000","22.3","1.15",,"0","6.4","11.5","05/08/2024 4:00 AM","OhioStreetBeach202405080400"
"Ohio Street Beach","2024-05-08T03:00:00.000","22.3","0.99",,"0","6.4","11.9","05/08/2024 3:00 AM","OhioStreetBeach202405080300"
"Ohio Street Beach","2024-05-08T02:00:00.000","22.4","1.31",,"0","6.3","11.9","05/08/2024 2:00 AM","OhioStreetBeach202405080200"
"Ohio Street Beach","2024-05-08T01:00:00.000","22.4","1.13",,"0","6.2","12","05/08/2024 1:00 AM","OhioStreetBeach202405080100"
"Ohio Street Beach","2024-05-08T00:00:00.000","22.3","0.96",,"0","6.4","11.9","05/08/2024 12:00 AM","OhioStreetBeach202405082400"
"Ohio Street Beach","2024-05-07T23:00:00.000","22.3","1.28",,"0","5.9","12","05/07/2024 11:00 PM","OhioStreetBeach202405072300"
"Ohio Street Beach","2024-05-07T22:00:00.000","22.4","1.13",,"0","6.3","11.7","05/07/2024 10:00 PM","OhioStreetBeach202405072200"
"Ohio Street Beach","2024-05-07T21:00:00.000","22.4","0.97",,"0","6.4","12.2","05/07/2024 9:00 PM","OhioStreetBeach202405072100"
"Ohio Street Beach","2024-05-07T20:00:00.000","22.5","1.36",,"0","6.5","12.3","05/07/2024 8:00 PM","OhioStreetBeach202405072000"
"Ohio Street Beach","2024-05-07T19:00:00.000","22.6","1.11",,"0","6.1","12.4","05/07/2024 7:00 PM","OhioStreetBeach202405071900"
"Ohio Street Beach","2024-05-07T18:00:00.000","22.9","0.96",,"0","6.3","12.4","05/07/2024 6:00 PM","OhioStreetBeach202405071800"
"Ohio Street Beach","2024-05-07T17:00:00.000","23.1","1.3",,"0","6.5","12.4","05/07/2024 5:00 PM","OhioStreetBeach202405071700"
"Ohio Street Beach","2024-05-07T16:00:00.000","23.3","1.13",,"0.1","5.4","12.4","05/07/2024 4:00 PM","OhioStreetBeach202405071600"
"Ohio Street Beach","2023-10-28T22:00:00.000","-100000","-100000",,"0","6.4","9.8","10/28/2023 10:00 PM","OhioStreetBeach202310282200"
"Ohio Street Beach","2023-10-28T21:00:00.000","-100000","-100000",,"0","6.2","9.9","10/28/2023 9:00 PM","OhioStreetBeach202310282100"
"Ohio Street Beach","2023-10-28T20:00:00.000","-100000","-100000",,"0","6.3","10.2","10/28/2023 8:00 PM","OhioStreetBeach202310282000"
"Ohio Street Beach","2023-10-28T19:00:00.000","-100000","-100000",,"0","6.4","10.6","10/28/2023 7:00 PM","OhioStreetBeach202310281900"
"Ohio Street Beach","2023-10-28T18:00:00.000","-100000","-100000",,"0","6.5","10.7","10/28/2023 6:00 PM","OhioStreetBeach202310281800"
"Ohio Street Beach","2023-10-28T17:00:00.000","-100000","-100000",,"0","6.5","11","10/28/2023 5:00 PM","OhioStreetBeach202310281700"
"Ohio Street Beach","2023-10-28T16:00:00.000","-100000","-100000",,"0","6.5","11","10/28/2023 4:00 PM","OhioStreetBeach202310281600"
"Ohio Street Beach","2023-10-28T15:00:00.000","-100000","-100000",,"0","6.5","11.2","10/28/2023 3:00 PM","OhioStreetBeach202310281500"
"Ohio Street Beach","2023-10-28T14:00:00.000","-100000","-100000",,"0","6.2","10.9","10/28/2023 2:00 PM","OhioStreetBeach202310281400"
"Ohio Street Beach","2023-10-28T13:00:00.000","-100000","-100000",,"0","6.2","11.1","10/28/2023 1:00 PM","OhioStreetBeach202310281300"
"Ohio Street Beach","2023-10-28T11:00:00.000","-100000","-100000",,"0","6.2","10.8","10/28/2023 11:00 AM","OhioStreetBeach202310281100"
"Ohio Street Beach","2023-10-28T10:00:00.000","-100000","-100000",,"0","6.4","10.8","10/28/2023 10:00 AM","OhioStreetBeach202310281000"
"Ohio Street Beach","2023-10-28T09:00:00.000","-100000","-100000",,"0","6.1","10.4","10/28/2023 9:00 AM","OhioStreetBeach202310280900"
"Ohio Street Beach","2023-10-28T08:00:00.000","-100000","-100000",,"0","6.4","10.4","10/28/2023 8:00 AM","OhioStreetBeach202310280800"
"Ohio Street Beach","2023-10-28T07:00:00.000","-100000","-100000",,"0","6.4","11","10/28/2023 7:00 AM","OhioStreetBeach202310280700"
"Ohio Street Beach","2023-10-28T06:00:00.000","-100000","-100000",,"0","5.9","11","10/28/2023 6:00 AM","OhioStreetBeach202310280600"
"Ohio Street Beach","2023-10-28T05:00:00.000","-100000","-100000",,"0","6.6","11.4","10/28/2023 5:00 AM","OhioStreetBeach202310280500"
"Ohio Street Beach","2023-10-28T04:00:00.000","-100000","-100000",,"0","6.4","11.4","10/28/2023 4:00 AM","OhioStreetBeach202310280400"
"Ohio Street Beach","2023-10-28T03:00:00.000","-100000","-100000",,"0","6.5","11.5","10/28/2023 3:00 AM","OhioStreetBeach202310280300"
"Ohio Street Beach","2023-10-28T02:00:00.000","-100000","-100000",,"0","6.2","11.2","10/28/2023 2:00 AM","OhioStreetBeach202310280200"
"Ohio Street Beach","2023-10-28T01:00:00.000","-100000","-100000",,"0","6.4","11.3","10/28/2023 1:00 AM","OhioStreetBeach202310280100"
"Ohio Street Beach","2023-10-28T00:00:00.000","-100000","-100000",,"0","6.4","11.1","10/28/2023 12:00 AM","OhioStreetBeach202310282400"
"Ohio Street Beach","2023-10-27T23:00:00.000","-100000","-100000",,"0","6.5","10.8","10/27/2023 11:00 PM","OhioStreetBeach202310272300"
"Ohio Street Beach","2023-10-27T22:00:00.000","-100000","-100000",,"0","6.3","11","10/27/2023 10:00 PM","OhioStreetBeach202310272200"
"Ohio Street Beach","2023-10-27T21:00:00.000","-100000","-100000",,"0","6.5","11","10/27/2023 9:00 PM","OhioStreetBeach202310272100"
"Ohio Street Beach","2023-10-27T20:00:00.000","-100000","-100000",,"0","5.9","10.5","10/27/2023 8:00 PM","OhioStreetBeach202310272000"
"Ohio Street Beach","2023-10-27T19:00:00.000","-100000","-100000",,"0","5.9","10.8","10/27/2023 7:00 PM","OhioStreetBeach202310271900"
"Ohio Street Beach","2023-10-27T18:00:00.000","-100000","-100000",,"0","5.8","11.1","10/27/2023 6:00 PM","OhioStreetBeach202310271800"
"Ohio Street Beach","2023-10-27T17:00:00.000","-100000","-100000",,"0","6.2","10.8","10/27/2023 5:00 PM","OhioStreetBeach202310271700"
"Ohio Street Beach","2023-10-27T16:00:00.000","-100000","-100000",,"0","5.7","11","10/27/2023 4:00 PM","OhioStreetBeach202310271600"
"Ohio Street Beach","2023-10-27T15:00:00.000","-100000","-100000",,"0","6.6","10.9","10/27/2023 3:00 PM","OhioStreetBeach202310271500"
"Ohio Street Beach","2023-10-27T14:00:00.000","-100000","-100000",,"0","6.3","11.3","10/27/2023 2:00 PM","OhioStreetBeach202310271400"
"Ohio Street Beach","2023-10-27T13:00:00.000","-100000","-100000",,"0","6.4","11.6","10/27/2023 1:00 PM","OhioStreetBeach202310271300"
"Ohio Street Beach","2023-10-27T12:00:00.000","-100000","-100000",,"0","6.1","10.9","10/27/2023 12:00 PM","OhioStreetBeach202310271200"
"Ohio Street Beach","2023-10-27T11:00:00.000","-100000","-100000",,"0","6.4","11","10/27/2023 11:00 AM","OhioStreetBeach202310271100"
"Ohio Street Beach","2023-10-27T10:00:00.000","-100000","-100000",,"0","6.3","11.3","10/27/2023 10:00 AM","OhioStreetBeach202310271000"
"Ohio Street Beach","2023-10-27T09:00:00.000","-100000","-100000",,"0","6.3","11.6","10/27/2023 9:00 AM","OhioStreetBeach202310270900"
"Ohio Street Beach","2023-10-27T08:00:00.000","-100000","-100000",,"0","5.7","11.4","10/27/2023 8:00 AM","OhioStreetBeach202310270800"
"Ohio Street Beach","2023-10-27T07:00:00.000","-100000","-100000",,"0","6.3","11.1","10/27/2023 7:00 AM","OhioStreetBeach202310270700"
"Ohio Street Beach","2023-10-27T06:00:00.000","-100000","-100000",,"0","6.4","11","10/27/2023 6:00 AM","OhioStreetBeach202310270600"
"Ohio Street Beach","2023-10-27T05:00:00.000","-100000","-100000",,"0","6.4","11.1","10/27/2023 5:00 AM","OhioStreetBeach202310270500"
"Ohio Street Beach","2023-10-27T04:00:00.000","-100000","-100000",,"0","6.1","10.8","10/27/2023 4:00 AM","OhioStreetBeach202310270400"
"Ohio Street Beach","2023-10-27T03:00:00.000","-100000","-100000",,"0","6.3","10.8","10/27/2023 3:00 AM","OhioStreetBeach202310270300"
"Ohio Street Beach","2023-10-27T02:00:00.000","-100000","-100000",,"0","6.3","10.9","10/27/2023 2:00 AM","OhioStreetBeach202310270200"
"Ohio Street Beach","2023-10-27T01:00:00.000","-100000","-100000",,"0","6.5","11.2","10/27/2023 1:00 AM","OhioStreetBeach202310270100"
"Ohio Street Beach","2023-10-27T00:00:00.000","-100000","-100000",,"0","6.5","11.2","10/27/2023 12:00 AM","OhioStreetBeach202310272400"
"Ohio Street Beach","2023-10-26T23:00:00.000","-100000","-100000",,"0","5.9","10.7","10/26/2023 11:00 PM","OhioStreetBeach202310262300"
"Ohio Street Beach","2023-10-26T22:00:00.000","-100000","-100000",,"0","6.4","10.8","10/26/2023 10:00 PM","OhioStreetBeach202310262200"
"Ohio Street Beach","2023-10-26T21:00:00.000","-100000","-100000",,"0","6.5","11","10/26/2023 9:00 PM","OhioStreetBeach202310262100"
"Ohio Street Beach","2023-10-26T20:00:00.000","-100000","-100000",,"0","6.4","11.1","10/26/2023 8:00 PM","OhioStreetBeach202310262000"
"Ohio Street Beach","2023-10-26T19:00:00.000","-100000","-100000",,"0","6","11.1","10/26/2023 7:00 PM","OhioStreetBeach202310261900"
"Ohio Street Beach","2023-10-26T18:00:00.000","-100000","-100000",,"0","6.4","11.2","10/26/2023 6:00 PM","OhioStreetBeach202310261800"
"Ohio Street Beach","2023-10-26T17:00:00.000","-100000","-100000",,"0","5.6","11.1","10/26/2023 5:00 PM","OhioStreetBeach202310261700"
"Ohio Street Beach","2023-10-26T16:00:00.000","-100000","-100000",,"0","6.4","11.4","10/26/2023 4:00 PM","OhioStreetBeach202310261600"
"Ohio Street Beach","2023-10-26T15:00:00.000","-100000","-100000",,"0","6.4","11.5","10/26/2023 3:00 PM","OhioStreetBeach202310261500"
"Ohio Street Beach","2023-10-26T14:00:00.000","-100000","-100000",,"0","6.3","11.5","10/26/2023 2:00 PM","OhioStreetBeach202310261400"
"Ohio Street Beach","2023-10-26T13:00:00.000","-100000","-100000",,"0","6.4","11.5","10/26/2023 1:00 PM","OhioStreetBeach202310261300"
"Ohio Street Beach","2023-10-26T12:00:00.000","-100000","-100000",,"0","5.8","11.3","10/26/2023 12:00 PM","OhioStreetBeach202310261200"
"Ohio Street Beach","2023-10-26T11:00:00.000","-100000","-100000",,"0","6.6","11.3","10/26/2023 11:00 AM","OhioStreetBeach202310261100"
"Ohio Street Beach","2023-10-26T10:00:00.000","-100000","-100000",,"0","6.4","11.2","10/26/2023 10:00 AM","OhioStreetBeach202310261000"
"Ohio Street Beach","2023-10-26T09:00:00.000","-100000","-100000",,"0","5.8","11","10/26/2023 9:00 AM","OhioStreetBeach202310260900"
"Ohio Street Beach","2023-10-26T08:00:00.000","-100000","-100000",,"0","6.5","11","10/26/2023 8:00 AM","OhioStreetBeach202310260800"
"Ohio Street Beach","2023-10-26T07:00:00.000","-100000","-100000",,"0","6.5","11.1","10/26/2023 7:00 AM","OhioStreetBeach202310260700"
"Ohio Street Beach","2023-10-26T06:00:00.000","-100000","-100000",,"0","6.1","10.8","10/26/2023 6:00 AM","OhioStreetBeach202310260600"
"Ohio Street Beach","2023-10-26T05:00:00.000","-100000","-100000",,"0","6.5","10.8","10/26/2023 5:00 AM","OhioStreetBeach202310260500"
"Ohio Street Beach","2023-10-26T04:00:00.000","-100000","-100000",,"0","6.4","10.9","10/26/2023 4:00 AM","OhioStreetBeach202310260400"
"Ohio Street Beach","2023-10-26T03:00:00.000","-100000","-100000",,"0","6.5","11.1","10/26/2023 3:00 AM","OhioStreetBeach202310260300"
"Ohio Street Beach","2023-10-26T02:00:00.000","-100000","-100000",,"0","6.4","11","10/26/2023 2:00 AM","OhioStreetBeach202310260200"
"Ohio Street Beach","2023-10-26T01:00:00.000","-100000","-100000",,"0","6.3","10.8","10/26/2023 1:00 AM","OhioStreetBeach202310260100"
"Ohio Street Beach","2023-10-26T00:00:00.000","-100000","-100000",,"0","6.7","10.8","10/26/2023 12:00 AM","OhioStreetBeach202310262400"
"Ohio Street Beach","2023-10-25T23:00:00.000","-100000","-100000",,"0","6.4","10.9","10/25/2023 11:00 PM","OhioStreetBeach202310252300"
"Ohio Street Beach","2023-10-25T22:00:00.000","-100000","-100000",,"0","6.1","11.5","10/25/2023 10:00 PM","OhioStreetBeach202310252200"
"Ohio Street Beach","2023-10-25T21:00:00.000","-100000","-100000",,"0","6.4","11.7","10/25/2023 9:00 PM","OhioStreetBeach202310252100"
"Ohio Street Beach","2023-10-25T20:00:00.000","-100000","-100000",,"0","6.6","11.8","10/25/2023 8:00 PM","OhioStreetBeach202310252000"
"Ohio Street Beach","2023-10-25T19:00:00.000","-100000","-100000",,"0.04","6.2","11.6","10/25/2023 7:00 PM","OhioStreetBeach202310251900"
"Ohio Street Beach","2023-10-25T18:00:00.000","-100000","-100000",,"0","6.4","12","10/25/2023 6:00 PM","OhioStreetBeach202310251800"
"Ohio Street Beach","2023-10-25T17:00:00.000","-100000","-100000",,"0","6.4","11.6","10/25/2023 5:00 PM","OhioStreetBeach202310251700"
"Ohio Street Beach","2023-10-25T16:00:00.000","-100000","-100000",,"0","6.4","11.7","10/25/2023 4:00 PM","OhioStreetBeach202310251600"
"Ohio Street Beach","2023-10-25T15:00:00.000","-100000","-100000",,"0","6.4","12","10/25/2023 3:00 PM","OhioStreetBeach202310251500"
"Ohio Street Beach","2023-10-25T14:00:00.000","-100000","-100000",,"0","5.9","11.8","10/25/2023 2:00 PM","OhioStreetBeach202310251400"
"Ohio Street Beach","2023-10-25T13:00:00.000","-100000","-100000",,"0","6.5","11.9","10/25/2023 1:00 PM","OhioStreetBeach202310251300"
"Ohio Street Beach","2023-10-25T12:00:00.000","-100000","-100000",,"0","6.2","12","10/25/2023 12:00 PM","OhioStreetBeach202310251200"
"Ohio Street Beach","2023-10-25T11:00:00.000","-100000","-100000",,"0","6.3","12","10/25/2023 11:00 AM","OhioStreetBeach202310251100"
"Ohio Street Beach","2023-10-25T10:00:00.000","-100000","-100000",,"0","6.5","12","10/25/2023 10:00 AM","OhioStreetBeach202310251000"
"Ohio Street Beach","2023-10-25T09:00:00.000","-100000","-100000",,"0","5.9","12","10/25/2023 9:00 AM","OhioStreetBeach202310250900"
"Ohio Street Beach","2023-10-25T08:00:00.000","-100000","-100000",,"0","5.8","12","10/25/2023 8:00 AM","OhioStreetBeach202310250800"
"Ohio Street Beach","2023-10-25T07:00:00.000","-100000","-100000",,"0","6.3","12","10/25/2023 7:00 AM","OhioStreetBeach202310250700"
"Ohio Street Beach","2023-10-25T06:00:00.000","-100000","-100000",,"0","5.7","12.1","10/25/2023 6:00 AM","OhioStreetBeach202310250600"
"Ohio Street Beach","2023-10-25T05:00:00.000","-100000","-100000",,"0","6.3","12","10/25/2023 5:00 AM","OhioStreetBeach202310250500"
"Ohio Street Beach","2023-10-25T04:00:00.000","-100000","-100000",,"0","6.4","12","10/25/2023 4:00 AM","OhioStreetBeach202310250400"
"Ohio Street Beach","2023-10-25T03:00:00.000","-100000","-100000",,"0","6.3","12","10/25/2023 3:00 AM","OhioStreetBeach202310250300"
"Ohio Street Beach","2023-10-25T02:00:00.000","-100000","-100000",,"0","6.3","12.1","10/25/2023 2:00 AM","OhioStreetBeach202310250200"
"Ohio Street Beach","2023-10-25T01:00:00.000","-100000","-100000",,"0","5.9","12.1","10/25/2023 1:00 AM","OhioStreetBeach202310250100"
"Ohio Street Beach","2023-10-25T00:00:00.000","-100000","-100000",,"0","6","11.7","10/25/2023 12:00 AM","OhioStreetBeach202310252400"
"Ohio Street Beach","2023-10-24T23:00:00.000","-100000","-100000",,"0","5.9","11.7","10/24/2023 11:00 PM","OhioStreetBeach202310242300"
"Ohio Street Beach","2023-10-24T22:00:00.000","-100000","-100000",,"0","6.5","12.1","10/24/2023 10:00 PM","OhioStreetBeach202310242200"
"Ohio Street Beach","2023-10-24T21:00:00.000","-100000","-100000",,"0","6.6","12.1","10/24/2023 9:00 PM","OhioStreetBeach202310242100"
"Ohio Street Beach","2023-10-24T20:00:00.000","-100000","-100000",,"0","6.5","12.2","10/24/2023 8:00 PM","OhioStreetBeach202310242000"
"Ohio Street Beach","2023-10-24T19:00:00.000","-100000","-100000",,"0","6.5","12.1","10/24/2023 7:00 PM","OhioStreetBeach202310241900"
"Ohio Street Beach","2023-10-24T18:00:00.000","-100000","-100000",,"0","6.2","12.2","10/24/2023 6:00 PM","OhioStreetBeach202310241800"
"Ohio Street Beach","2023-10-24T17:00:00.000","-100000","-100000",,"0","6.4","12","10/24/2023 5:00 PM","OhioStreetBeach202310241700"
"Ohio Street Beach","2023-10-24T16:00:00.000","-100000","-100000",,"0","6.4","12","10/24/2023 4:00 PM","OhioStreetBeach202310241600"
"Ohio Street Beach","2023-10-24T15:00:00.000","-100000","-100000",,"0","6.6","12.1","10/24/2023 3:00 PM","OhioStreetBeach202310241500"
"Ohio Street Beach","2023-10-24T14:00:00.000","-100000","-100000",,"0","6.4","11.8","10/24/2023 2:00 PM","OhioStreetBeach202310241400"
"Ohio Street Beach","2023-10-24T13:00:00.000","-100000","-100000",,"0","6.3","11.7","10/24/2023 1:00 PM","OhioStreetBeach202310241300"
"Ohio Street Beach","2023-10-24T12:00:00.000","-100000","-100000",,"0","6.5","11.3","10/24/2023 12:00 PM","OhioStreetBeach202310241200"
"Ohio Street Beach","2023-10-24T11:00:00.000","-100000","-100000",,"0","6.4","11.6","10/24/2023 11:00 AM","OhioStreetBeach202310241100"
"Ohio Street Beach","2023-10-24T10:00:00.000","-100000","-100000",,"0","6.3","11.2","10/24/2023 10:00 AM","OhioStreetBeach202310241000"
"Ohio Street Beach","2023-10-24T09:00:00.000","-100000","-100000",,"0","6.2","11.1","10/24/2023 9:00 AM","OhioStreetBeach202310240900"
"Ohio Street Beach","2023-10-24T08:00:00.000","-100000","-100000",,"0","6.4","11.7","10/24/2023 8:00 AM","OhioStreetBeach202310240800"
"Ohio Street Beach","2023-10-24T07:00:00.000","-100000","-100000",,"0","6.3","11.7","10/24/2023 7:00 AM","OhioStreetBeach202310240700"
"Ohio Street Beach","2023-10-24T06:00:00.000","-100000","-100000",,"0","6.3","11.5","10/24/2023 6:00 AM","OhioStreetBeach202310240600"
"Ohio Street Beach","2023-10-24T05:00:00.000","-100000","-100000",,"0","6.3","11.9","10/24/2023 5:00 AM","OhioStreetBeach202310240500"
"Ohio Street Beach","2023-10-24T04:00:00.000","-100000","-100000",,"0","6.3","11.7","10/24/2023 4:00 AM","OhioStreetBeach202310240400"
"Ohio Street Beach","2023-10-24T03:00:00.000","-100000","-100000",,"0","6.4","11.7","10/24/2023 3:00 AM","OhioStreetBeach202310240300"
"Ohio Street Beach","2023-10-24T02:00:00.000","-100000","-100000",,"0","6.1","12.1","10/24/2023 2:00 AM","OhioStreetBeach202310240200"
"Ohio Street Beach","2023-10-24T01:00:00.000","-100000","-100000",,"0","6.4","12.2","10/24/2023 1:00 AM","OhioStreetBeach202310240100"
"Ohio Street Beach","2023-10-24T00:00:00.000","-100000","-100000",,"0","6.5","12.3","10/24/2023 12:00 AM","OhioStreetBeach202310242400"
"Ohio Street Beach","2023-10-23T23:00:00.000","-100000","-100000",,"0","6.3","12.2","10/23/2023 11:00 PM","OhioStreetBeach202310232300"
"Ohio Street Beach","2023-10-23T22:00:00.000","-100000","-100000",,"0","6.2","12.2","10/23/2023 10:00 PM","OhioStreetBeach202310232200"
"Ohio Street Beach","2023-10-23T21:00:00.000","-100000","-100000",,"0","6.3","12.3","10/23/2023 9:00 PM","OhioStreetBeach202310232100"
"Ohio Street Beach","2023-10-23T20:00:00.000","-100000","-100000",,"0","6.4","12.2","10/23/2023 8:00 PM","OhioStreetBeach202310232000"
"Ohio Street Beach","2023-10-23T19:00:00.000","-100000","-100000",,"0","6.4","12.3","10/23/2023 7:00 PM","OhioStreetBeach202310231900"
"Ohio Street Beach","2023-10-23T18:00:00.000","-100000","-100000",,"0","6.4","12.3","10/23/2023 6:00 PM","OhioStreetBeach202310231800"
"Ohio Street Beach","2023-10-23T17:00:00.000","-100000","-100000",,"0","6.1","12.3","10/23/2023 5:00 PM","OhioStreetBeach202310231700"
"Ohio Street Beach","2023-10-23T16:00:00.000","-100000","-100000",,"0","6.4","12.2","10/23/2023 4:00 PM","OhioStreetBeach202310231600"
"Ohio Street Beach","2023-10-23T15:00:00.000","-100000","-100000",,"0","6.4","12.4","10/23/2023 3:00 PM","OhioStreetBeach202310231500"
"Ohio Street Beach","2023-10-23T14:00:00.000","-100000","-100000",,"0","6.5","12.3","10/23/2023 2:00 PM","OhioStreetBeach202310231400"
"Ohio Street Beach","2023-10-23T13:00:00.000","-100000","-100000",,"0","6.5","12.3","10/23/2023 1:00 PM","OhioStreetBeach202310231300"
