"inspection_id","dba_name","aka_name","license_","facility_type","risk","address","city","state","zip","inspection_date","inspection_type","results","violations","latitude","longitude","location"
"2594237","Children of Peace Holy Trinity","Children of Peace Holy Trinity","2098691","School","Risk 1 (High)","1900 W Taylor ST ","CHICAGO","IL","60612","2024-05-08T00:00:00.000","Canvass Re-Inspection","Fail","10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-202.12 (A)OBSERVED FIRST-FLOOR BOYS' AND GIRLS' RESTROOM WITH IMPROPER HOT WATER TEMPERATURE AT HANDS (77.4F-79.2.F). INSTRUCTED THE PERSON IN CHARGE THAT ALL HANDS MUST BE MAINTAINED AT A TEMPERATURE OF AT LEAST 100F AT ALL TIMES. (PERSON IN CHARGE ADJUSTED TEMPERATURE AT ALL HANDSINKS TO 100F DURING INSPECTION). PRIORITY VIOLATION 7-38-030(C). CITATION ISSUED.","41.86926445997663","-87.67381637462078","(41.86926445997663, -87.67381637462078)"
"2594202","MOON'S SANDWICH SHOP","MOON'S SANDWICH SHOP","1804509","Restaurant","Risk 1 (High)","16 S WESTERN AVE ","CHICAGO","IL","60612","2024-05-08T00:00:00.000","Canvass","Pass","47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CARBOARD OBSERVED ON THE FLOOR OF FREEZER. INSTRUCTED TO REMOVE CARDBOARD FROM THE FLOOR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME BROKEN FLOOR TILES THROUGH THE FACILITY AND CONCRETE BY THE HOT HOLD UNIT IN THE KITCHEN. INSTRUCTED THE PERSON IN CHARGE TO REPAIR ALL AREAS TO BE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME FOOD DEBRIS, GREASE, DUST, AND DIRT ON THE FLOOR UNDER COOKING EQUIPMENT IN THE KITCHEN. MUST CLEAN FLOOR AND MAINATIN AT ALL TIMES.","41.880677409478736","-87.68656689128477","(41.880677409478736, -87.68656689128477)"
"2594135","MARIANO'S #8527 UKRANIAN VILLAGE","MARIANO'S #8527 UKRANIAN VILLAGE","2307748","Grocery Store","Risk 1 (High)","2021 W CHICAGO AVE ","CHICAGO","IL","60622","2024-05-07T00:00:00.000","Complaint","Pass w/ Conditions","14. REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION - Comments: OBSERVED SHELLSTOCK TAGS FOR OYSTERS AND MUSSELS ONLY DATING BACK TO 60 DAYS. INSTRUCTED MANAGEMENT TO ENSURE ALL SHELLSTOCK TAGS ARE KEPT ON SITE FOR 90 DAYS. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED.","41.89578522959797","-87.67793089259229","(41.89578522959797, -87.67793089259229)"
"2594095","THE WAREHOUSE BAR & PIZZERIA","THE WAREHOUSE BAR & PIZZERIA","2962145","Restaurant","Risk 1 (High)","1419 W FULLERTON AVE ","CHICAGO","IL","60614","2024-05-07T00:00:00.000","License","Pass","36. THERMOMETERS PROVIDED & ACCURATE - Comments: VISBLE AND WORKING THEMOMETERS NEEDED IN 2-DOOR TALL PREP REFRIGERATORS IN REAR FOOD PREPARATION AREA. MUST PROVIDE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST PROVIDE WORKING STOPPERS AT THE 3-COMPARTMENT SINK LOCATED IN BASEMENT BAR AREA. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HAND WASHING SINK IN WOMEN'S WASHROOM DRAINING SLOW. MUST REPAIR AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: ADDITIONAL WATER PRESSURE NEEDED AT THE EXPOSED HAND WASHING SINK LOCATED IN BASMENT BAR AREA. MUST REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT AND DEBRIS ON FLOOR BEHIND REFRIGERATION UNITS IN THE FRONT BAR AREA ALSO OBSERVED GREASE AND DIRT ON FLOOR UNDERNEATH COOKING EQUIPMENT IN THE KITCHEN FOOD PREP AREA. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED PEELING PAINT ON WALLS INSIDE WASHROOMS LOCATED IN THE BASEMENT. MUST REPAINT AND MAINTAIN.","41.92509608370018","-87.66416385130758","(41.92509608370018, -87.66416385130758)"
"2594145","FOUR SEASONS DUMPLING RESTAURANT","FOUR SEASONS DUMPLING RESTAURANT","2749801","Restaurant","Risk 1 (High)","3205 S HALSTED ST ","CHICAGO","IL","60608","2024-05-07T00:00:00.000","Canvass Re-Inspection","Pass","51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12 UNABLE TO LOCATE THE BACK FLOW PREVENTION DEVICE ON THE ICE MACHINE. INSTRUCTED TO LOCATE OR PROVIDE.","41.83604276860547","-87.64608295955098","(41.83604276860547, -87.64608295955098)"
"2594099","JEWELL EVENTS CATERING","JEWELL EVENTS CATERING","2808573","Catering","Risk 1 (High)","1930-1932 W LAKE ST ","CHICAGO","IL","60612","2024-05-07T00:00:00.000","Canvass","Fail","38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROX. 100 MOUSE DROPPINGS LOCATED IN THE CORNER OF THE DRY STORAGE AREA, LIQUOR STORAGE ROOM, BREAK ROOM AND COMPUTER CLOSET IN THE FRONT HALLWAY.  MANAGEMENT INSTRUCTED TO CLEAN AND REMOVE ALL RODENT DROPPINGS FROM ALL AFFECTED AREAS.  ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO ELIMINATE THE PEST ACTIVITY.  PRIORITY FOUNDATION VIOLATION 7-38-020(A).  CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A 1/2' GAP BETWEEN THE FLOOR AND WALL IN THE BREAK ROOM. MANAGEMENT INSTRUCTED TO SEAL THE GAPS BETWEEN THE FLOOR AND WALL TO PREVENT PEST HARBORAGE CONDITIONS.","41.88513396604436","-87.67556126866802","(41.88513396604436, -87.67556126866802)"
"2594141","MICHELADAS EL PATRON LLC","MICHELADAS EL PATRON LLC","2961717","Shared Kitchen User (Long Term)","Risk 2 (Medium)","3318 W OSCEOLA AVE ","CHICAGO","IL","60634","2024-05-07T00:00:00.000","Canvass","Pass",,"41.94025946740951","-87.81308317654317","(41.94025946740951, -87.81308317654317)"
"2594119","LORETTO HOSPITAL","LORETTO HOSPITAL","2204616","Hospital","Risk 1 (High)","645 S CENTRAL AVE ","CHICAGO","IL","60644","2024-05-07T00:00:00.000","Canvass","Pass","36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE ADDITIONAL THERMOMETER IN THE WARMEST PLACE FOR MONITORING INTERNAL TEMPERATURE OF DISPLAY COOLER WITH YOGURT, PREPARED SALADS, AND SANDWICHES. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED REAR DOOR LEADING TO OUTSIDE RECEPTACLE AREA NOT RODENT PROOF. INSTRUCTED TO PROVIDE AND MAINTAIN TO PREVENT PEST ENTRY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SPILLS ON INTERIOR SURFACES OF CABINET WHERE BEVERAGES ARE DISPENSED. INSTRUCTED TO CLEAN AND MAINTAIN TO PREVENT BREEDING SITE FOR PEST.","41.87208576989947","-87.76443034735553","(41.87208576989947, -87.76443034735553)"
"2594109","HOUND DOG, BURGER & TERIYAKI  RESTAURANT","HOUND DOG, BURGER & TERIYAKI  RESTAURANT","1649568","Restaurant","Risk 1 (High)","2257 W GRAND AVE ","CHICAGO","IL","60612","2024-05-07T00:00:00.000","Canvass","Pass","55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED HEAVY CLUTTER THROUGHOUT THE ESTABLISHMENT ON SHELVES, FLOORS IN THE BACK, AND STORAGE AREAS. INSTRUCTED TO DETAIL CLEAN, ORGANIZE, AND REMOVE ALL UNNECESSARY OR UNUSED ARTICLES AND EQUIPMENT TO PREVENT HIDING PLACES FOR PESTS. MUST UPGRADE  HOUSEKEEPING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE DAMAGED AND MISSING FLOOR TILES, AND CONCRETE THROUGHOUT PREP AND DISHWASHING AREAS.","41.89059496364399","-87.68404796959847","(41.89059496364399, -87.68404796959847)"
"2594097","HIROMI'S ORIENTAL RESTAURANT","HIROMI'S ORIENTAL RESTAURANT","53171","Restaurant","Risk 1 (High)","3609 W LAWRENCE AVE ","CHICAGO","IL","60625","2024-05-07T00:00:00.000","Canvass Re-Inspection","Pass",,"41.96823261185367","-87.7186510600225","(41.96823261185367, -87.7186510600225)"
"2594114","THE WAREHOUSE BAR  & PIZZERIA","THE WAREHOUSE BAR & PIZZERIA","47019","Restaurant","Risk 1 (High)","1419 W FULLERTON AVE ","CHICAGO","IL","60614","2024-05-07T00:00:00.000","Canvass","Out of Business",,"41.92509608370018","-87.66416385130758","(41.92509608370018, -87.66416385130758)"
"2594105","THE CARLTON AT THE LAKE","CARLTON SKILLED NURSING FACILITY","2470105","Long Term Care","Risk 1 (High)","725 W MONTROSE AVE ","CHICAGO","IL","60613","2024-05-07T00:00:00.000","Complaint Re-Inspection","Pass",,"41.961754803527974","-87.64854372497662","(41.961754803527974, -87.64854372497662)"
