"id","violation_last_modified_date","violation_date","violation_code","violation_status","violation_status_date","violation_description","violation_location","violation_inspector_comments","violation_ordinance","inspector_id","inspection_number","inspection_status","inspection_waived","inspection_category","department_bureau","address","street_number","street_direction","street_name","street_type","property_group","ssa","latitude","longitude","location"
"7160727","2024-05-08T14:14:45.000","2024-05-08T00:00:00.000","CN063014","OPEN",,"CHIMNEY","EXTERIOR:N   :","NORTH CHIMNEY - FRACTURES, LOOSE AND ERODED MORTAR/BRICKS.","Failed to maintain chimney in safe and sound working condition.  (13-196-590, 13-196-530(b) and (c), 13-196-641)","BL00904","14330438","FAILED","N","COMPLAINT","CONSERVATION","3756 S HERMITAGE AVE","3756","S","HERMITAGE","AVE","25149",,"41.825126877","-87.669183693","
,  
(41.82512687676253, -87.66918369265863)"
"7160530","2024-05-08T10:37:31.000","2024-05-08T00:00:00.000","CN065034","OPEN",,"REPAIR WINDOW SILLS","OTHER   :    :OTHER","ALL ELEVATIONS /WINDOW SILLS - WASHED OUT MORTAR.","Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)","282126","11916264","FAILED","N","PERIODIC","CONSERVATION","1055 W GLENLAKE AVE","1055","W","GLENLAKE","AVE","12699",,"41.992216638","-87.657616061","
,  
(41.99221663846345, -87.65761606104755)"
"7160216","2024-05-08T07:01:15.000","2024-05-08T00:00:00.000","CN131026","OPEN",,"REPAIR SCREENS","OTHER   :    :OTHER","MISSING WINDOW SCREENS THROUGHOUT PROPERTY VARIOUS LOCATIONS.","Repair or replace defective screen. (13-196-560 B)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160531","2024-05-08T10:37:31.000","2024-05-08T00:00:00.000","CN194039","OPEN",,"REMOVE","OTHER   :    :OTHER","EAST ELEVATION - ROTTED PLYWOOD OVER PORCH ENTRANCE GATE IS LOOSE AND PULLING.","Remove","282126","11916264","FAILED","N","PERIODIC","CONSERVATION","1055 W GLENLAKE AVE","1055","W","GLENLAKE","AVE","12699",,"41.992216638","-87.657616061","
,  
(41.99221663846345, -87.65761606104755)"
"7160760","2024-05-08T16:24:54.000","2024-05-08T00:00:00.000","BR3058","OPEN",,"SEE INSPECTOR COMMENTS","EQ #: 002","REPLACE DEFECTIVE,LEAKING SAFETY VALVE ON HOT WATER TANK NB#12312",,"202808","14208043","CLOSED","N","PERIODIC","BOILER","1401 E 55TH ST","1401","E","55TH","ST","19138",,"41.795399912","-87.591625909","
,  
(41.79539991193184, -87.59162590876223)"
"7160215","2024-05-08T07:01:15.000","2024-05-08T00:00:00.000","CN101015","OPEN",,"REPAIR INTERIOR WALLS/CEILING","OTHER   :    :OTHER","LIVING ROOM CEILING HAS BULLET HOLE.","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160726","2024-05-08T14:14:45.000","2024-05-08T00:00:00.000","CN065034","OPEN",,"REPAIR WINDOW SILLS","EXTERIOR:S   :","SOUTH AND EAST ELEVATIONS  - OPEN SILL JOINTS.","Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)","BL00904","14330438","FAILED","N","COMPLAINT","CONSERVATION","3756 S HERMITAGE AVE","3756","S","HERMITAGE","AVE","25149",,"41.825126877","-87.669183693","
,  
(41.82512687676253, -87.66918369265863)"
"7160238","2024-05-08T07:59:16.000","2024-05-08T00:00:00.000","EL1801","OPEN",,"DEFECTIVE SERVICE",,,"Replace defective service. ( 14E-2-230)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160243","2024-05-08T08:03:07.000","2024-05-08T00:00:00.000","EL1885","OPEN",,,,"SERVICE ENTRANCE CONDUCTORS TO BE INSTALLED IN RIGID/IMC 14E-240.43 (REPLACE RISER IN EMT)",,"196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160761","2024-05-08T16:26:55.000","2024-05-08T00:00:00.000","BR3058","OPEN",,"SEE INSPECTOR COMMENTS","EQ #: 003","REPLACE DEFECTIVE,LEAKING HOT WATER TANK DRAIN VALVE",,"202808","14208043","CLOSED","N","PERIODIC","BOILER","1401 E 55TH ST","1401","E","55TH","ST","19138",,"41.795399912","-87.591625909","
,  
(41.79539991193184, -87.59162590876223)"
"7160626","2024-05-08T13:15:10.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","BL00781","14330352","FAILED","N","PERMIT","VENTILATION","1676 W BRYN MAWR AVE","1676","W","BRYN MAWR","AVE","210097",,"41.98353604","-87.672898174","
,  
(41.98353603975336, -87.67289817361204)"
"7160600","2024-05-08T12:46:25.000","2024-05-08T00:00:00.000","PL151137","OPEN",,"OPEN",,,,"381406","14326130","FAILED","N","PERMIT","PLUMBING","1819 W DIVISION ST","1819","W","DIVISION","ST","595807","33","41.90314384","-87.673157436","
,  
(41.90314384002702, -87.67315743621683)"
"7160656","2024-05-08T13:51:04.000","2024-05-08T00:00:00.000","CN061014","OPEN",,"REPAIR EXTERIOR WALL","OTHER   :    :OTHER","FRONT ELEVATION /EXTERIOR WALL - FLAKY, PEELING PAINT AT MULTIPLE LOCATIONS.","Failed to maintain the exterior walls of a building or structure free from holes, breaks, loose or rotting boards or timbers and any other conditions which might admit rain or dampness to the walls.  (13-196-530(b), 13-196-641)","451988","12935165","FAILED","N","PERIODIC","CONSERVATION","2112 S MICHIGAN AVE","2112","S","MICHIGAN","AVE","15925",,"41.853846555","-87.623987627","
,  
(41.85384655482952, -87.62398762653795)"
"7160707","2024-05-08T14:49:07.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","405730","14314239","FAILED","N","PERMIT","VENTILATION","8701 S COTTAGE GROVE AVE","8701","S","COTTAGE GROVE","AVE","462084","51","41.736606078","-87.604675061","
,  
(41.73660607803214, -87.6046750609248)"
"7160532","2024-05-08T10:37:31.000","2024-05-08T00:00:00.000","CN134026","OPEN",,"RAT STOP AROUND EXTERIOR","OTHER   :    :OTHER","RAT HOLES AROUND PERIMATER AT GRADE.","Install rat stopping around exterior walls. (7-28-660)","282126","11916264","FAILED","N","PERIODIC","CONSERVATION","1055 W GLENLAKE AVE","1055","W","GLENLAKE","AVE","12699",,"41.992216638","-87.657616061","
,  
(41.99221663846345, -87.65761606104755)"
"7160632","2024-05-08T13:28:50.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","BL00781","14245803","FAILED","N","PERMIT","VENTILATION","1676 W BRYN MAWR AVE","1676","W","BRYN MAWR","AVE","210097",,"41.98353604","-87.672898174","
,  
(41.98353603975336, -87.67289817361204)"
"7160529","2024-05-08T10:37:31.000","2024-05-08T00:00:00.000","CN190029","OPEN",,"ARRANGE FOR REINSPECTION REGAR","OTHER   :    :.,","INTERIOR OF BUILDING /NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS.","pending notice reinspection","282126","11916264","FAILED","N","PERIODIC","CONSERVATION","1055 W GLENLAKE AVE","1055","W","GLENLAKE","AVE","12699",,"41.992216638","-87.657616061","
,  
(41.99221663846345, -87.65761606104755)"
"7160274","2024-05-08T08:04:33.000","2024-05-08T00:00:00.000","EL1818","OPEN",,"DEFECTIVE OUTLETS",,"THROUGHOUT","Replace broken, inoperable, or painted over receptacle or switch. (14E-4-406.4)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160725","2024-05-08T14:14:45.000","2024-05-08T00:00:00.000","CN104075","OPEN",,"WINDOW REPAIR FOR AIR SEEPAGE","EXTERIOR:S   :","SOUTH AND WEST ELEVATIONS - MISSING AND LOOSE CAULKING","Failed to maintain windows in relation to the adjacent wall construction as to completely exclude rain and substantially exclude wind from entering the premises.  (13-196-550(f))","BL00904","14330438","FAILED","N","COMPLAINT","CONSERVATION","3756 S HERMITAGE AVE","3756","S","HERMITAGE","AVE","25149",,"41.825126877","-87.669183693","
,  
(41.82512687676253, -87.66918369265863)"
"7160275","2024-05-08T08:04:53.000","2024-05-08T00:00:00.000","EL1829","OPEN",,"EXPOSED WIRING",,"1ST FLOOR","Remove exposed wiring. (14E-3-300.4)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160728","2024-05-08T14:14:45.000","2024-05-08T00:00:00.000","CN061014","OPEN",,"REPAIR EXTERIOR WALL","EXTERIOR:E   :","ALL ELEVATIONS ,INCLUDING GARAGE - FRACTURES, LOOSE AND ERODED MORTAR AT VARIOUS LOCATIONS. PERMIT FOR ALL MASONRY REPAIRS REQUIRED.","Failed to maintain the exterior walls of a building or structure free from holes, breaks, loose or rotting boards or timbers and any other conditions which might admit rain or dampness to the walls.  (13-196-530(b), 13-196-641)","BL00904","14330438","FAILED","N","COMPLAINT","CONSERVATION","3756 S HERMITAGE AVE","3756","S","HERMITAGE","AVE","25149",,"41.825126877","-87.669183693","
,  
(41.82512687676253, -87.66918369265863)"
"7160648","2024-05-08T13:44:03.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","BL00781","14245832","FAILED","N","PERMIT","VENTILATION","1676 W BRYN MAWR AVE","1676","W","BRYN MAWR","AVE","210097",,"41.98353604","-87.672898174","
,  
(41.98353603975336, -87.67289817361204)"
"7160533","2024-05-08T10:37:31.000","2024-05-08T00:00:00.000","CN061014","OPEN",,"REPAIR EXTERIOR WALL","OTHER   :    :.,","SOUTH AND EAST ELEVATIONS /EXTERIOR WALL - SPALLED BRICKS, WITH WASHED OUT MORTAR. PERMIT REQUIRED FOR REPAIRS.","Failed to maintain the exterior walls of a building or structure free from holes, breaks, loose or rotting boards or timbers and any other conditions which might admit rain or dampness to the walls.  (13-196-530(b), 13-196-641)","282126","11916264","FAILED","N","PERIODIC","CONSERVATION","1055 W GLENLAKE AVE","1055","W","GLENLAKE","AVE","12699",,"41.992216638","-87.657616061","
,  
(41.99221663846345, -87.65761606104755)"
"7160214","2024-05-08T07:01:15.000","2024-05-08T00:00:00.000","CN137056","OPEN",,"STOP STORING GARBAGE","OTHER   :    :OTHER","REAR YARD HAS GARBAGE AND DEBRI. DOG FECES THROUGHOUT YARD.","Stop storing garbage and placing refuse containers improperly. (7-28-260)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160629","2024-05-08T13:23:46.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","BL00781","14330355","FAILED","N","PERMIT","VENTILATION","1676 W BRYN MAWR AVE","1676","W","BRYN MAWR","AVE","210097",,"41.98353604","-87.672898174","
,  
(41.98353603975336, -87.67289817361204)"
"7160219","2024-05-08T07:01:15.000","2024-05-08T00:00:00.000","CN070024","OPEN",,"REPAIR PORCH SYSTEM","OTHER   :    :OTHER","EAST PORCH HAS INCORRECT RISER HEIGHTS.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160217","2024-05-08T07:01:15.000","2024-05-08T00:00:00.000","NC2071","OPEN",,"WORK NOT ALLOWED","OTHER   :    :OTHER","VINYL PICKET FENCE OVER 5'. REDUCE HEIGHT,REMOVE, OR OBTAIN A PERMIT.","Remove work performed without permit and restore building or site to original construction. (13-32-130, 13-32-290)","196492","14330144","FAILED","N","COMPLAINT","CONSERVATION","5555 S MERRIMAC AVE","5555","S","MERRIMAC","AVE","357441",,"41.790792992","-87.777946028","
,  
(41.790792991767724, -87.77794602801137)"
"7160708","2024-05-08T14:49:34.000","2024-05-08T00:00:00.000","VT2030","OPEN",,"INSTALL VENT/AS SHOWN ON PLANS",,,"Install ventilation as shown on approved plans. (13-40-100, 13-176-070)","405730","14314239","FAILED","N","PERMIT","VENTILATION","8701 S COTTAGE GROVE AVE","8701","S","COTTAGE GROVE","AVE","462084","51","41.736606078","-87.604675061","
,  
(41.73660607803214, -87.6046750609248)"
"7160611","2024-05-08T13:08:13.000","2024-05-08T00:00:00.000","VT1010","OPEN",,"ARRANGE COMPLETED PERMIT INSP.",,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)","BL00781","14324208","FAILED","N","PERMIT","VENTILATION","1676 W BRYN MAWR AVE","1676","W","BRYN MAWR","AVE","210097",,"41.98353604","-87.672898174","
,  
(41.98353603975336, -87.67289817361204)"
"7160542","2024-05-07T12:47:23.000","2024-05-07T00:00:00.000","CN190019","OPEN",,"ARRANGE PREMISE INSPECTION","OTHER   :    :OTHER","INTERIOR OF BUILDING - NO RESPONSE, UNABLE TO VERFY DETECTORS AND COMPLAINT OF WINDDOWS NOT CLOSING IN KITCHEN, MICE AND RAT INFESTATION, AND BATHROO  LEAKS ON APT. 3F.","Arrange for inspection of premises. (13-12-100)","BL00831","14330279","FAILED","N","COMPLAINT","CONSERVATION","3847 S MICHIGAN AVE","3847","S","MICHIGAN","AVE","296627",,"41.824157287","-87.62293617","
,  
(41.824157286890674, -87.62293617006102)"
"7159945","2024-05-07T10:06:25.000","2024-05-07T00:00:00.000","CN196019","OPEN",,"NO POSTED ADDRESS","OTHER   :    :OTHER","1416 / ADDRESS - MISSING.","Post address of building in conspicuous place on or near entrance with figures at least 3 inches long for residential, or 6 inches long for commercial building. (10-4-050, 10-4-090, 10-4-100)","371335","14329965","FAILED","N","COMPLAINT","CONSERVATION","1416 W 80TH ST","1416","W","80TH","ST","438096","32","41.748704234","-87.659275296","
,  
(41.74870423423713, -87.65927529573588)"
"7159824","2024-05-07T13:14:29.000","2024-05-07T00:00:00.000","EV1111","OPEN",,"MAINTAIN OR REPAIR HYDRO ELEVA",,"BOTH ELEVATORS: SCHEDULE TO HAVE OPEN PERMIT FOR WATER DAMAGE TO BOTH ELEVATOR CONTROLLERS CLOSED. PERMIT MUST BE KEPT ONSITE DURING REPAIRS. SCOPE OF WORK MUST BE ONSITE DURING TIME OF INSPECTION.","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425","14216089","FAILED","N","PERIODIC","ELEVATOR","15 E 112TH PL","15","E","112TH","PL","652575","40","41.689763742","-87.622395085","
,  
(41.689763742246164, -87.62239508489364)"
"7159800","2024-05-07T11:33:25.000","2024-05-07T00:00:00.000","CN138056","OPEN",,"DEBRIS, EXCESSIVE","OTHER   :    :OTHER","SOUTH, REAR YARD AND UNDER REAR PORCH - JUNK AND REFUSE ACCUMULATION.","Remove accumulation of refuse and debris and keep premises clean. (13-196-580, 13-196-630)","BL00831","14329902","FAILED","N","COMPLAINT","CONSERVATION","5725 S PEORIA ST","5725","S","PEORIA","ST","347306",,"41.789864147","-87.647327683","
,  
(41.78986414728711, -87.64732768294219)"
"7160250","2024-05-07T08:37:38.000","2024-05-07T00:00:00.000","CN138106","OPEN",,"STOP/REMOVE NUISANCE","EXTERIOR:N   :","REAR PORCH - APPLIANCE AT 2ND FLOOR DECK, GARBAGE CANS, COOLER ON 1ST FLOOR DECK","Remove and stop nuisance. (7-28-060)","BL01000","14330173","FAILED","N","COMPLAINT","CONSERVATION","1302 W 98TH PL","1302","W","98TH","PL","487628",,"41.715095201","-87.655403893","
,  
(41.715095200524146, -87.65540389273048)"
"7159959","2024-05-07T13:04:47.000","2024-05-07T00:00:00.000","CN197019","OPEN",,"INSTALL SMOKE DETECTORS","OTHER   :    :OTHER","1ST FLOOR / SMOKE DETECTOR - MISSING.","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","371335","14329968","FAILED","N","COMPLAINT","CONSERVATION","436 W 101ST ST","436","W","101ST","ST","494433",,"41.710780446","-87.635168929","
,  
(41.71078044571855, -87.63516892947564)"
"7160462","2024-05-08T09:35:28.000","2024-05-07T00:00:00.000","EV1111","OPEN",,"MAINTAIN OR REPAIR HYDRO ELEVA",,"REPAIR/ REPLACE EMERGENCY PHONE. CAR #2.VERIFY BATTERY BACKUP OPERATION.","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","432622","14215111","FAILED","N","PERIODIC","ELEVATOR","8915 S LOOMIS ST","8915","S","LOOMIS","ST","21404",,"41.731644531","-87.657931855","
,  
(41.73164453133818, -87.65793185522344)"
"7160373","2024-05-07T10:16:58.000","2024-05-07T00:00:00.000","CN101015","OPEN",,"REPAIR INTERIOR WALLS/CEILING","INTERIOR:002 :","1ST, 2ND FLOORS/CEILINGS - HOLES IN VARIOUS ROOMS, CORRIDORS, AND STAIRWELLS; WATER LEAKING AT TIME OF INSPECTION; WATER STAINS THROUGHOUT; LOOSE, FALLING DRYWALL AND CEILING TILES, SOME TILES MISSING; ALL LEVELS/MASONRY WALLS- STRUCTURAL, STRESS CRACKS; STEP FRACTURES THROUGHOUT","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL01000","14262411","FAILED","N","PERIODIC","CONSERVATION","9201 S JUSTINE ST","9201","S","JUSTINE","ST","21510",,"41.726610979","-87.661439756","
,  
(41.72661097926374, -87.66143975611578)"
"7159936","2024-05-07T09:23:17.000","2024-05-07T00:00:00.000","CN076034","OPEN",,"REPAIR GUTTER","OTHER   :    :OTHER","EAST ELEVAION / NEWLY INSTALLED GUTTERS - SAGGING WITH WATER LEAKING DURING RAIN STORM AT TIME OF INSPECTION.","Failed to maintain roof gutters in good repair and working condition.  (13-196-590, 13-196-630(b), 13-196-641, 18-29-1101, 18-29-1105, 18-29-1106)","371335","14329963","FAILED","N","COMPLAINT","CONSERVATION","503 W 81ST ST","503","W","81ST","ST","23480",,"41.746985179","-87.636771613","
,  
(41.746985179406224, -87.63677161305118)"
"7159957","2024-05-07T13:04:47.000","2024-05-07T00:00:00.000","CN074014","OPEN",,"SERVICE WALK, PASSAGE, AREAWAY","OTHER   :    :OTHER","FRONT AND REAR SIDEWALKS - CRACKED WITH HOLES.","Failed to maintain exterior service walks, passage and areaways in clean, sanitary and safe condition.  (13-196-630, 13-196-641)","371335","14329968","FAILED","N","COMPLAINT","CONSERVATION","436 W 101ST ST","436","W","101ST","ST","494433",,"41.710780446","-87.635168929","
,  
(41.71078044571855, -87.63516892947564)"
"7159933","2024-05-07T09:23:17.000","2024-05-07T00:00:00.000","CN065034","OPEN",,"REPAIR WINDOW SILLS","OTHER   :    :OTHER","EAST ELEVATION / WOOD SILL - ROTTING WITH MISSING CAPPING.","Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)","371335","14329963","FAILED","N","COMPLAINT","CONSERVATION","503 W 81ST ST","503","W","81ST","ST","23480",,"41.746985179","-87.636771613","
,  
(41.746985179406224, -87.63677161305118)"
"7159963","2024-05-07T13:04:47.000","2024-05-07T00:00:00.000","CN067024","OPEN",,"REPAIR EAVES","OTHER   :    :OTHER","EAST ELEVATION / EAVE - FLAKING PAINT.","Failed to maintain roof eaves in good repair and free from cracks and defects which may admit rain.  (13-196-530, 13-196-530(c), and 13-196-641)","371335","14329968","FAILED","N","COMPLAINT","CONSERVATION","436 W 101ST ST","436","W","101ST","ST","494433",,"41.710780446","-87.635168929","
,  
(41.71078044571855, -87.63516892947564)"
