"station_name","measurement_timestamp","air_temperature","wet_bulb_temperature","humidity","rain_intensity","interval_rain","total_rain","precipitation_type","wind_direction","wind_speed","maximum_wind_speed","barometric_pressure","solar_radiation","heading","battery_life","measurement_timestamp_label","measurement_id"
"Foster Weather Station","2024-05-09T20:00:00.000","11",,"80",,"0",,,"0","3.3","0","990.2","6",,"15.1","05/09/2024 8:00 PM","FosterWeatherStation202405092000"
"Oak Street Weather Station","2024-05-09T20:00:00.000","11.4","10.2","86","0","0","129.6","0","359","1.9","4.6","992","1","358","11.9","05/09/2024 8:00 PM","OakStreetWeatherStation202405092000"
"Foster Weather Station","2024-05-09T19:00:00.000","11.17",,"82",,"0",,,"0","3.3","0","989.5","30",,"15.2","05/09/2024 7:00 PM","FosterWeatherStation202405091900"
"Oak Street Weather Station","2024-05-09T19:00:00.000","12.5","11","84","0","0","129.6","0","30","4.4","5.5","991.3","26","358","11.9","05/09/2024 7:00 PM","OakStreetWeatherStation202405091900"
"Foster Weather Station","2024-05-09T18:00:00.000","11.17",,"83",,"0",,,"0","3.3","0","989.2","76",,"15.2","05/09/2024 6:00 PM","FosterWeatherStation202405091800"
"Oak Street Weather Station","2024-05-09T18:00:00.000","11.7","10.6","88","0","0.2","129.6","60","22","5.4","7.1","990.8","27","358","11.9","05/09/2024 6:00 PM","OakStreetWeatherStation202405091800"
"Foster Weather Station","2024-05-09T17:00:00.000","11.17",,"85",,"0.76",,,"0","3.3","0","988.5","40",,"15.1","05/09/2024 5:00 PM","FosterWeatherStation202405091700"
"Oak Street Weather Station","2024-05-09T17:00:00.000","11.8","10.9","90","0","0.3","129.3","60","16","6.4","8.9","990.4","32","359","11.9","05/09/2024 5:00 PM","OakStreetWeatherStation202405091700"
"Foster Weather Station","2024-05-09T16:00:00.000","11.5",,"84",,"0.08",,,"0","3.3","0","987.5","90",,"15.2","05/09/2024 4:00 PM","FosterWeatherStation202405091600"
"Oak Street Weather Station","2024-05-09T16:00:00.000","12.2","11.3","90","0","0","129.1","0","33","4.1","5.2","989.1","36","359","11.9","05/09/2024 4:00 PM","OakStreetWeatherStation202405091600"
"Foster Weather Station","2024-05-09T15:00:00.000","11.39",,"84",,"0.03",,,"0","3.3","0","986.8","171",,"15.1","05/09/2024 3:00 PM","FosterWeatherStation202405091500"
"Oak Street Weather Station","2024-05-09T15:00:00.000","12.3","11.4","90","0","0.2","129","0","69","4.8","7","988.7","127","359","12","05/09/2024 3:00 PM","OakStreetWeatherStation202405091500"
"Foster Weather Station","2024-05-09T14:00:00.000","11.56",,"83",,"0.03",,,"0","3.3","0","986.8","117",,"15.2","05/09/2024 2:00 PM","FosterWeatherStation202405091400"
"Oak Street Weather Station","2024-05-09T14:00:00.000","12.3","11.1","87","0","0","128.8","60","65","5.9","7.3","988.5","76","359","12","05/09/2024 2:00 PM","OakStreetWeatherStation202405091400"
"Foster Weather Station","2024-05-09T13:00:00.000","11.78",,"81",,"0",,,"0","3.3","0","986.1","87",,"15.1","05/09/2024 1:00 PM","FosterWeatherStation202405091300"
"Oak Street Weather Station","2024-05-09T13:00:00.000","12.6","11.2","86","0","0","128.8","0","68","6.5","8.9","987.9","48","359","12","05/09/2024 1:00 PM","OakStreetWeatherStation202405091300"
"Foster Weather Station","2024-05-09T12:00:00.000","11.89",,"81",,"0",,,"0","3.3","0","985.4","251",,"15.1","05/09/2024 12:00 PM","FosterWeatherStation202405091200"
"Foster Weather Station","2024-05-09T11:00:00.000","11.89",,"83",,"0",,,"0","3.3","0","984.8","440",,"15.2","05/09/2024 11:00 AM","FosterWeatherStation202405091100"
"Oak Street Weather Station","2024-05-09T11:00:00.000","12.6","11.6","89","0","0","128.8","0","63","5.6","7","986.3","377","358","11.9","05/09/2024 11:00 AM","OakStreetWeatherStation202405091100"
"Foster Weather Station","2024-05-09T10:00:00.000","12.17",,"86",,"0",,,"0","3.3","0","984.4","148",,"15.2","05/09/2024 10:00 AM","FosterWeatherStation202405091000"
"Oak Street Weather Station","2024-05-09T10:00:00.000","13.1","12","88","0","0","128.8","60","64","6.5","7.6","986","126","358","11.8","05/09/2024 10:00 AM","OakStreetWeatherStation202405091000"
"Foster Weather Station","2024-05-09T09:00:00.000","12.56",,"84",,"0.97",,,"0","3.3","0","984.8","87",,"15.1","05/09/2024 9:00 AM","FosterWeatherStation202405090900"
"Oak Street Weather Station","2024-05-09T09:00:00.000","13.5","12.3","88","0","1.8","128.8","60","53","4.7","5.8","986.4","93","357","12","05/09/2024 9:00 AM","OakStreetWeatherStation202405090900"
"Foster Weather Station","2024-05-09T08:00:00.000","12.5",,"85",,"6.45",,,"0","3.3","0","985.1","46",,"15.1","05/09/2024 8:00 AM","FosterWeatherStation202405090800"
"Oak Street Weather Station","2024-05-09T08:00:00.000","13.6","12.4","88","6","7.4","127","60","30","2","3.1","986.7","39","357","12","05/09/2024 8:00 AM","OakStreetWeatherStation202405090800"
"Foster Weather Station","2024-05-09T07:00:00.000","13.06",,"82",,"2.77",,,"0","3.3","0","984.4","6",,"15.2","05/09/2024 7:00 AM","FosterWeatherStation202405090700"
"Oak Street Weather Station","2024-05-09T07:00:00.000","14.3","12.4","81","10.8","6.2","119.6","60","0","0.6","1.7","986.2","2","358","11.9","05/09/2024 7:00 AM","OakStreetWeatherStation202405090700"
"Foster Weather Station","2024-05-09T06:00:00.000","13.5",,"78",,"0.46",,,"0","3.3","0","984.1","5",,"15.2","05/09/2024 6:00 AM","FosterWeatherStation202405090600"
"Oak Street Weather Station","2024-05-09T06:00:00.000","13.9","12.2","82","1.2","0.2","113.4","60","115","0.7","2.8","986","0","358","12","05/09/2024 6:00 AM","OakStreetWeatherStation202405090600"
"Foster Weather Station","2024-05-09T05:00:00.000","13.67",,"78",,"0.15",,,"0","3.3","0","983.7","4",,"15.1","05/09/2024 5:00 AM","FosterWeatherStation202405090500"
"Oak Street Weather Station","2024-05-09T05:00:00.000","14.2","12.3","80","0","0.5","113.3","60","82","2","3.2","985.5","-2","358","12","05/09/2024 5:00 AM","OakStreetWeatherStation202405090500"
"Foster Weather Station","2024-05-09T04:00:00.000","13.67",,"75",,"0",,,"0","3.3","0","983.1","5",,"15.1","05/09/2024 4:00 AM","FosterWeatherStation202405090400"
"Oak Street Weather Station","2024-05-09T04:00:00.000","14.6","11.9","74","0","0","112.8","0","101","1.4","2.5","984.7","-2","358","11.9","05/09/2024 4:00 AM","OakStreetWeatherStation202405090400"
"Foster Weather Station","2024-05-09T03:00:00.000","14.17",,"70",,"0",,,"0","3.3","0","982.7","5",,"15.1","05/09/2024 3:00 AM","FosterWeatherStation202405090300"
"Oak Street Weather Station","2024-05-09T03:00:00.000","15.5","12","67","0","0","112.8","0","172","0.9","2.2","984.7","-2","358","11.9","05/09/2024 3:00 AM","OakStreetWeatherStation202405090300"
"Foster Weather Station","2024-05-09T02:00:00.000","14.39",,"69",,"0",,,"0","3.3","0","982.7","3",,"15.1","05/09/2024 2:00 AM","FosterWeatherStation202405090200"
"Oak Street Weather Station","2024-05-09T02:00:00.000","15.9","12","64","0","0","112.8","0","166","1","1.9","984.7","-2","358","11.9","05/09/2024 2:00 AM","OakStreetWeatherStation202405090200"
"Foster Weather Station","2024-05-09T01:00:00.000","14",,"71",,"0",,,"0","3.3","0","983.1","4",,"15.1","05/09/2024 1:00 AM","FosterWeatherStation202405090100"
"Oak Street Weather Station","2024-05-09T01:00:00.000","15.8","12.1","65","0","0","112.8","0","94","1.5","2.1","985.3","-2","358","12","05/09/2024 1:00 AM","OakStreetWeatherStation202405090100"
"Foster Weather Station","2024-05-09T00:00:00.000","14.89",,"63",,"0",,,"0","3.3","0","984.1","5",,"15.1","05/09/2024 12:00 AM","FosterWeatherStation202405092400"
"Oak Street Weather Station","2024-05-09T00:00:00.000","17.1","11.9","54","0","0","112.8","0","113","1.7","4.3","985.8","-2","358","12","05/09/2024 12:00 AM","OakStreetWeatherStation202405092400"
"Foster Weather Station","2024-05-08T23:00:00.000","14.28",,"70",,"0",,,"0","3.3","0","984.4","4",,"15.1","05/08/2024 11:00 PM","FosterWeatherStation202405082300"
"Oak Street Weather Station","2024-05-08T23:00:00.000","16.9","11.9","56","0","0","112.8","0","104","2.8","5.3","986.4","-3","358","11.9","05/08/2024 11:00 PM","OakStreetWeatherStation202405082300"
"Foster Weather Station","2024-05-08T22:00:00.000","14.28",,"66",,"0",,,"0","3.3","0","984.8","5",,"15.1","05/08/2024 10:00 PM","FosterWeatherStation202405082200"
"Oak Street Weather Station","2024-05-08T22:00:00.000","16.5","11.8","58","0","0","112.8","0","127","2.2","5.4","987","-2","358","12","05/08/2024 10:00 PM","OakStreetWeatherStation202405082200"
"Foster Weather Station","2024-05-08T21:00:00.000","15",,"60",,"0",,,"0","3.3","0","984.1","5",,"15.1","05/08/2024 9:00 PM","FosterWeatherStation202405082100"
"Oak Street Weather Station","2024-05-08T21:00:00.000","16.7","11.5","54","0","0","112.8","0","133","1.1","2.8","986.3","-3","358","11.9","05/08/2024 9:00 PM","OakStreetWeatherStation202405082100"
"Foster Weather Station","2024-05-08T20:00:00.000","14.89",,"61",,"0",,,"0","3.3","0","983.7","6",,"15.1","05/08/2024 8:00 PM","FosterWeatherStation202405082000"
"Oak Street Weather Station","2024-05-08T20:00:00.000","16.3","11.5","57","0","0","112.8","0","129","1.4","2.7","985.8","0","358","11.9","05/08/2024 8:00 PM","OakStreetWeatherStation202405082000"
"Foster Weather Station","2024-05-08T19:00:00.000","15.28",,"67",,"0",,,"0","3.3","0","983.4","82",,"15.1","05/08/2024 7:00 PM","FosterWeatherStation202405081900"
"Oak Street Weather Station","2024-05-08T19:00:00.000","15.9","12","64","0","0","112.8","0","106","1.6","2.5","985.3","52","358","12","05/08/2024 7:00 PM","OakStreetWeatherStation202405081900"
"Foster Weather Station","2024-05-08T18:00:00.000","16.06",,"63",,"0",,,"0","3.3","0","983.7","78",,"15.1","05/08/2024 6:00 PM","FosterWeatherStation202405081800"
"Oak Street Weather Station","2024-05-08T18:00:00.000","17.5","12.2","54","0","0","112.8","0","97","1.9","4.2","985.5","65","358","11.8","05/08/2024 6:00 PM","OakStreetWeatherStation202405081800"
"Foster Weather Station","2024-05-08T17:00:00.000","16.78",,"60",,"0",,,"0","3.3","0","984.1","465",,"15.1","05/08/2024 5:00 PM","FosterWeatherStation202405081700"
"Oak Street Weather Station","2024-05-08T17:00:00.000","18.2","12.5","52","0","0","112.8","0","116","1.5","3","985.7","36","358","12","05/08/2024 5:00 PM","OakStreetWeatherStation202405081700"
"Foster Weather Station","2024-05-08T16:00:00.000","17.06",,"59",,"0",,,"0","3.3","0","984.8","633",,"15.1","05/08/2024 4:00 PM","FosterWeatherStation202405081600"
"Oak Street Weather Station","2024-05-08T16:00:00.000","19.1","13.4","52","0","0","112.8","0","68","1.3","2.2","986.6","546","357","12","05/08/2024 4:00 PM","OakStreetWeatherStation202405081600"
"Foster Weather Station","2024-05-08T15:00:00.000","17.56",,"58",,"0",,,"0","3.3","0","985.8","745",,"15.1","05/08/2024 3:00 PM","FosterWeatherStation202405081500"
"Oak Street Weather Station","2024-05-08T15:00:00.000","20","12.7","43","0","0","112.8","0","117","1.6","3.4","987.6","676","358","11.9","05/08/2024 3:00 PM","OakStreetWeatherStation202405081500"
"Foster Weather Station","2024-05-08T13:00:00.000","18",,"52",,"0",,,"0","3.3","0","985.4","846",,"15.1","05/08/2024 1:00 PM","FosterWeatherStation202405081300"
"Oak Street Weather Station","2024-05-08T13:00:00.000","19.7","12.6","43","0","0","112.8","0","92","1.3","1.8","987","793","358","11.9","05/08/2024 1:00 PM","OakStreetWeatherStation202405081300"
"Foster Weather Station","2024-05-08T12:00:00.000","19.17",,"54",,"0",,,"0","3.3","0","985.4","822",,"15.1","05/08/2024 12:00 PM","FosterWeatherStation202405081200"
"Oak Street Weather Station","2024-05-08T12:00:00.000","20.4","12.7","40","0","0","112.8","0","104","1.9","3.2","987","784","358","11.8","05/08/2024 12:00 PM","OakStreetWeatherStation202405081200"
"Foster Weather Station","2024-05-08T11:00:00.000","18.28",,"62",,"0",,,"0","3.3","0","984.8","755",,"15.1","05/08/2024 11:00 AM","FosterWeatherStation202405081100"
"Oak Street Weather Station","2024-05-08T11:00:00.000","20.8","14.4","50","0","0","112.8","0","108","2.3","3.2","986.4","734","358","12","05/08/2024 11:00 AM","OakStreetWeatherStation202405081100"
"Foster Weather Station","2024-05-08T10:00:00.000","19",,"55",,"0",,,"0","3.3","0","984.4","634",,"15.1","05/08/2024 10:00 AM","FosterWeatherStation202405081000"
"Oak Street Weather Station","2024-05-08T10:00:00.000","20.3","14.5","54","0","0","112.8","0","118","3.3","4.6","985.7","633","358","12","05/08/2024 10:00 AM","OakStreetWeatherStation202405081000"
"Foster Weather Station","2024-05-08T09:00:00.000","18.56",,"52",,"0",,,"0","3.3","0","984.4","485",,"15.1","05/08/2024 9:00 AM","FosterWeatherStation202405080900"
"Oak Street Weather Station","2024-05-08T09:00:00.000","19.3","13.5","53","0","0","112.8","0","95","1.1","1.5","986","498","358","11.8","05/08/2024 9:00 AM","OakStreetWeatherStation202405080900"
"Foster Weather Station","2024-05-08T08:00:00.000","18.56",,"48",,"0",,,"0","3.3","0","984.1","323",,"15.1","05/08/2024 8:00 AM","FosterWeatherStation202405080800"
"Oak Street Weather Station","2024-05-08T08:00:00.000","20.6","13","42","0","0","112.8","0","256","1.2","2.3","985.8","345","358","11.9","05/08/2024 8:00 AM","OakStreetWeatherStation202405080800"
"Foster Weather Station","2024-05-08T07:00:00.000","16.78",,"51",,"0",,,"0","3.3","0","983.4","154",,"15.1","05/08/2024 7:00 AM","FosterWeatherStation202405080700"
"Oak Street Weather Station","2024-05-08T07:00:00.000","19.1","13","50","0","0","112.8","0","358","0.6","1.5","985.4","180","358","11.9","05/08/2024 7:00 AM","OakStreetWeatherStation202405080700"
"Foster Weather Station","2024-05-08T06:00:00.000","15.06",,"60",,"0",,,"0","3.3","0","983.1","22",,"15.1","05/08/2024 6:00 AM","FosterWeatherStation202405080600"
"Oak Street Weather Station","2024-05-08T06:00:00.000","16.3","13","69","0","0","112.8","0","55","0.6","1.1","984.7","30","358","11.9","05/08/2024 6:00 AM","OakStreetWeatherStation202405080600"
"Foster Weather Station","2024-05-08T05:00:00.000","13.28",,"80",,"0",,,"0","3.3","0","982.4","4",,"15.2","05/08/2024 5:00 AM","FosterWeatherStation202405080500"
"Oak Street Weather Station","2024-05-08T05:00:00.000","14.5","12.8","83","0","0","112.8","0","20","0.4","1.1","984.4","0","358","11.9","05/08/2024 5:00 AM","OakStreetWeatherStation202405080500"
"Foster Weather Station","2024-05-08T04:00:00.000","14.78",,"65",,"0",,,"0","3.3","0","981.4","4",,"15.2","05/08/2024 4:00 AM","FosterWeatherStation202405080400"
"Oak Street Weather Station","2024-05-08T04:00:00.000","16.6","12.5","63","0","0","112.8","0","124","0.6","1.2","983.3","-2","358","12","05/08/2024 4:00 AM","OakStreetWeatherStation202405080400"
"Foster Weather Station","2024-05-08T03:00:00.000","15.67",,"61",,"0",,,"0","3.3","0","981","4",,"15.1","05/08/2024 3:00 AM","FosterWeatherStation202405080300"
"Oak Street Weather Station","2024-05-08T03:00:00.000","17.5","12.7","58","0","0","112.8","0","297","1.2","3.3","982.8","-2","358","12","05/08/2024 3:00 AM","OakStreetWeatherStation202405080300"
"Foster Weather Station","2024-05-08T02:00:00.000","15.89",,"61",,"0",,,"0","3.3","0","981","4",,"15.1","05/08/2024 2:00 AM","FosterWeatherStation202405080200"
"Oak Street Weather Station","2024-05-08T02:00:00.000","17.2","13","62","0","0","112.8","0","347","1.3","2.1","982.7","-2","358","12","05/08/2024 2:00 AM","OakStreetWeatherStation202405080200"
"Foster Weather Station","2024-05-08T01:00:00.000","14.06",,"74",,"0",,,"0","3.3","0","981.4","5",,"15.1","05/08/2024 1:00 AM","FosterWeatherStation202405080100"
"Oak Street Weather Station","2024-05-08T01:00:00.000","16.7","13.6","71","0","0","112.8","0","1","2.4","3.1","982.9","-2","358","12","05/08/2024 1:00 AM","OakStreetWeatherStation202405080100"
"Foster Weather Station","2024-05-08T00:00:00.000","15.67",,"73",,"0",,,"0","3.3","0","980.7","4",,"15.1","05/08/2024 12:00 AM","FosterWeatherStation202405082400"
"Oak Street Weather Station","2024-05-08T00:00:00.000","18.4","13.9","61","0","0","112.8","0","344","2.3","2.8","982.4","-3","358","12","05/08/2024 12:00 AM","OakStreetWeatherStation202405082400"
"Foster Weather Station","2024-05-07T23:00:00.000","18.28",,"53",,"0",,,"0","3.3","0","980.4","4",,"15.1","05/07/2024 11:00 PM","FosterWeatherStation202405072300"
"Oak Street Weather Station","2024-05-07T23:00:00.000","19.5","14.4","58","0","0","112.8","0","83","1.1","2.9","981.8","-3","358","11.9","05/07/2024 11:00 PM","OakStreetWeatherStation202405072300"
"Foster Weather Station","2024-05-07T22:00:00.000","19",,"54",,"0.15",,,"0","3.3","0","979.7","3",,"15.1","05/07/2024 10:00 PM","FosterWeatherStation202405072200"
"Oak Street Weather Station","2024-05-07T22:00:00.000","19.2","14.5","61","0","0.9","112.8","0","295","1.9","5","981.5","-3","358","11.8","05/07/2024 10:00 PM","OakStreetWeatherStation202405072200"
"Foster Weather Station","2024-05-07T21:00:00.000","15.5",,"80",,"0",,,"0","3.3","0","979.3","5",,"15.1","05/07/2024 9:00 PM","FosterWeatherStation202405072100"
"Oak Street Weather Station","2024-05-07T21:00:00.000","17.3","15.1","79","0","0","111.8","0","84","0.4","0.9","980.9","-2","358","12","05/07/2024 9:00 PM","OakStreetWeatherStation202405072100"
"Foster Weather Station","2024-05-07T20:00:00.000","14.89",,"83",,"0",,,"0","3.3","0","978","7",,"15.1","05/07/2024 8:00 PM","FosterWeatherStation202405072000"
"Oak Street Weather Station","2024-05-07T20:00:00.000","16.5","14.6","82","0","0","111.8","0","0","0","0.3","979.7","0","358","12","05/07/2024 8:00 PM","OakStreetWeatherStation202405072000"
"Foster Weather Station","2024-05-07T19:00:00.000","15.78",,"78",,"0",,,"0","3.3","0","977.3","124",,"15.1","05/07/2024 7:00 PM","FosterWeatherStation202405071900"
"Oak Street Weather Station","2024-05-07T19:00:00.000","16.8","14.6","79","0","0","111.8","0","121","0","0.8","979.2","22","358","11.9","05/07/2024 7:00 PM","OakStreetWeatherStation202405071900"
"Foster Weather Station","2024-05-07T18:00:00.000","15.89",,"78",,"0",,,"0","3.3","0","977.3","138",,"15.1","05/07/2024 6:00 PM","FosterWeatherStation202405071800"
"Oak Street Weather Station","2024-05-07T18:00:00.000","16.2","14.5","83","0","0","111.8","0","123","0.9","2.2","979","50","358","11.9","05/07/2024 6:00 PM","OakStreetWeatherStation202405071800"
"Foster Weather Station","2024-05-07T17:00:00.000","22.56",,"69",,"0.03",,,"0","3.3","0","976.6","72",,"15.1","05/07/2024 5:00 PM","FosterWeatherStation202405071700"
"Oak Street Weather Station","2024-05-07T17:00:00.000","22.1","19.2","77","0","0.1","111.8","0","67","2","2.7","977.9","77","358","11.9","05/07/2024 5:00 PM","OakStreetWeatherStation202405071700"
"Foster Weather Station","2024-05-07T16:00:00.000","20",,"69",,"0",,,"0","3.3","0","976","196",,"15.1","05/07/2024 4:00 PM","FosterWeatherStation202405071600"
"Oak Street Weather Station","2024-05-07T16:00:00.000","20.5","17.5","75","0","0.3","111.7","0","99","1.2","3.1","977.6","125","358","11.8","05/07/2024 4:00 PM","OakStreetWeatherStation202405071600"
"Foster Weather Station","2024-05-07T15:00:00.000","16.56",,"88",,"2.36",,,"0","3.3","0","976.3","1020",,"15.1","05/07/2024 3:00 PM","FosterWeatherStation202405071500"
"Oak Street Weather Station","2024-05-07T15:00:00.000","18.1","16.3","83","1.8","7.7","111.4","60","139","1.1","3.6","978.1","268","358","11.9","05/07/2024 3:00 PM","OakStreetWeatherStation202405071500"
"Foster Weather Station","2024-05-07T14:00:00.000","16.17",,"85",,"0",,,"0","3.3","0","977","69",,"15.1","05/07/2024 2:00 PM","FosterWeatherStation202405071400"
"Oak Street Weather Station","2024-05-07T14:00:00.000","19.6","18","86","0","0","103.7","60","105","2.3","4.3","978.4","31","359","12","05/07/2024 2:00 PM","OakStreetWeatherStation202405071400"
"Foster Weather Station","2024-05-07T13:00:00.000","16.89",,"82",,"0",,,"0","3.3","0","978.3","873",,"15.1","05/07/2024 1:00 PM","FosterWeatherStation202405071300"
"Oak Street Weather Station","2024-05-07T13:00:00.000","18.5","16.9","86","0","0","103.7","0","107","3.7","5.1","979.7","278","358","12","05/07/2024 1:00 PM","OakStreetWeatherStation202405071300"
"Foster Weather Station","2024-05-07T12:00:00.000","16",,"81",,"0",,,"0","3.3","0","979","361",,"15.1","05/07/2024 12:00 PM","FosterWeatherStation202405071200"
"Oak Street Weather Station","2024-05-07T12:00:00.000","17.1","15.7","87","0","0","103.7","0","107","3.5","5.5","980.5","661","358","11.9","05/07/2024 12:00 PM","OakStreetWeatherStation202405071200"
"Foster Weather Station","2024-05-07T11:00:00.000","15.89",,"86",,"1.47",,,"0","3.3","0","980.4","430",,"15.1","05/07/2024 11:00 AM","FosterWeatherStation202405071100"
"Oak Street Weather Station","2024-05-07T11:00:00.000","17.1","16","90","0","1.3","103.7","0","112","4","5.2","981.8","623","358","11.8","05/07/2024 11:00 AM","OakStreetWeatherStation202405071100"
"Foster Weather Station","2024-05-07T10:00:00.000","15.28",,"88",,"16.21",,,"0","3.3","0","981.4","70",,"15.2","05/07/2024 10:00 AM","FosterWeatherStation202405071000"
"Oak Street Weather Station","2024-05-07T10:00:00.000","16.4","15.3","89","2.4","4.6","102.4","60","58","0.9","1.5","982.8","71","358","11.7","05/07/2024 10:00 AM","OakStreetWeatherStation202405071000"
"Foster Weather Station","2024-05-07T09:00:00.000","13.67",,"78",,"0",,,"0","3.3","0","980","13",,"15.2","05/07/2024 9:00 AM","FosterWeatherStation202405070900"
"Oak Street Weather Station","2024-05-07T09:00:00.000","14.9","13","81","16.2","0.3","97.8","60","103","3.5","5.4","982.2","19","358","11.8","05/07/2024 9:00 AM","OakStreetWeatherStation202405070900"
"Foster Weather Station","2024-05-07T08:00:00.000","13.5",,"74",,"0.03",,,"0","3.3","0","981.4","92",,"15.1","05/07/2024 8:00 AM","FosterWeatherStation202405070800"
"Oak Street Weather Station","2024-05-07T08:00:00.000","15.1","12.4","74","0","0","97.4","0","107","3.1","5.3","983.2","56","357","11.9","05/07/2024 8:00 AM","OakStreetWeatherStation202405070800"
"Foster Weather Station","2024-05-07T07:00:00.000","13.28",,"71",,"0",,,"0","3.3","0","982.4","100",,"15.2","05/07/2024 7:00 AM","FosterWeatherStation202405070700"
"Oak Street Weather Station","2024-05-07T07:00:00.000","14.9","11.8","70","0","0","97.4","0","114","3.7","5.6","984.3","86","357","12","05/07/2024 7:00 AM","OakStreetWeatherStation202405070700"
"Foster Weather Station","2024-05-07T06:00:00.000","13.67",,"68",,"0",,,"0","3.3","0","983.1","25",,"15.1","05/07/2024 6:00 AM","FosterWeatherStation202405070600"
"Oak Street Weather Station","2024-05-07T06:00:00.000","14.6","11.3","68","0","0","97.4","0","115","3.9","6.2","984.9","20","358","12","05/07/2024 6:00 AM","OakStreetWeatherStation202405070600"
"Foster Weather Station","2024-05-07T05:00:00.000","13.56",,"71",,"0",,,"0","3.3","0","983.7","5",,"15.1","05/07/2024 5:00 AM","FosterWeatherStation202405070500"
"Oak Street Weather Station","2024-05-07T05:00:00.000","14.7","11.6","70","0","0","97.4","0","113","3.2","5.8","985.4","-2","358","11.9","05/07/2024 5:00 AM","OakStreetWeatherStation202405070500"
"Foster Weather Station","2024-05-07T04:00:00.000","13.78",,"68",,"0",,,"0","3.3","0","984.8","3",,"15.1","05/07/2024 4:00 AM","FosterWeatherStation202405070400"
"Oak Street Weather Station","2024-05-07T04:00:00.000","15.5","11.3","61","0","0","97.4","0","115","3","5","986.5","-2","358","11.9","05/07/2024 4:00 AM","OakStreetWeatherStation202405070400"
"Foster Weather Station","2024-05-07T03:00:00.000","14",,"68",,"0",,,"0","3.3","0","985.1","5",,"15.1","05/07/2024 3:00 AM","FosterWeatherStation202405070300"
"Oak Street Weather Station","2024-05-07T03:00:00.000","15.8","11.7","62","0","0","97.4","0","110","4","6","986.9","-2","358","11.9","05/07/2024 3:00 AM","OakStreetWeatherStation202405070300"
"Foster Weather Station","2024-05-07T02:00:00.000","13.89",,"71",,"0",,,"0","3.3","0","985.8","4",,"15.2","05/07/2024 2:00 AM","FosterWeatherStation202405070200"
"Oak Street Weather Station","2024-05-07T02:00:00.000","15.4","11.9","66","0","0","97.4","0","110","3.5","5.5","987.6","-2","358","11.9","05/07/2024 2:00 AM","OakStreetWeatherStation202405070200"
"Foster Weather Station","2024-05-07T01:00:00.000","14.28",,"72",,"0",,,"0","3.3","0","986.8","4",,"15.1","05/07/2024 1:00 AM","FosterWeatherStation202405070100"
"Oak Street Weather Station","2024-05-07T01:00:00.000","16.6","12.2","60","0","0","97.4","0","116","3","4.2","988.4","-2","358","11.9","05/07/2024 1:00 AM","OakStreetWeatherStation202405070100"
"Foster Weather Station","2024-05-07T00:00:00.000","14.89",,"72",,"0",,,"0","3.3","0","987.8","5",,"15.1","05/07/2024 12:00 AM","FosterWeatherStation202405072400"
"Oak Street Weather Station","2024-05-07T00:00:00.000","17.5","12.7","58","0","0","97.4","0","111","2.3","4.8","989.3","-2","358","12","05/07/2024 12:00 AM","OakStreetWeatherStation202405072400"
"Foster Weather Station","2024-05-06T23:00:00.000","14.89",,"73",,"0",,,"0","3.3","0","988.5","5",,"15.2","05/06/2024 11:00 PM","FosterWeatherStation202405062300"
