"id","fuel_type_code","station_name","street_address","intersection_directions","city","state","zip","plus4","station_phone","status_code","expected_date","groups_with_access_code","access_days_time","cards_accepted","bd_blends","ng_fill_type_code","ng_psi","ev_level1_evse_num","ev_level2_evse_num","ev_dc_fast_count","ev_other_info","ev_network","ev_network_web","geocode_status","latitude","longitude","date_last_confirmed","updated_at","owner_type_code","federal_agency_id","federal_agency_name","open_date","hydrogen_status_link","ng_vehicle_class","lpg_primary","e85_blender_pump","location"
"20844","E85","Citgo","4070 N Clark St",,"Chicago","IL","60613",,"773-528-3040","E",,"Public","24 hours daily","A Cash D Debit M V Wright_Exp",,,,,,,,,,"200-9","41.956159","-87.663596","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2000-08-15T00:00:00.000",,,,"false","(41.956159, -87.663596)"
"21197","LPG","Hicksgas","415 S Division St",,"Braidwood","IL","60408",,"815-458-2373","E",,"Public - Call ahead","8am-5pm M-F","Cash Checks D M V",,,,,,,,,,"200-9","41.25572","-88.226144","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2002-01-11T00:00:00.000",,,"false",,"(41.25572, -88.226144)"
"21205","LPG","Hicksgas","1625 S Schuyler Ave",,"Kankakee","IL","60901",,"815-933-4464","E",,"Public - Call ahead","8am-5pm M-F, 8am-12pm Sat","Cash D M V",,,,,,,,,,"200-9","41.101504","-87.869992","2023-12-13T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2002-01-11T00:00:00.000",,,"false",,"(41.101504, -87.869992)"
"21207","LPG","Hicksgas","200 E Grand Ave","Next to tracks","Lake Villa","IL","60046",,"847-356-8225","E",,"Public - Call ahead","8am-12pm Sat","Cash D M V",,,,,,,,,,"200-9","42.416937","-88.078716","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2019-09-23T00:00:00.000",,,"false",,"(42.416937, -88.078716)"
"21224","LPG","Hicksgas","1023 Lake Ave","Northeast corner, at Route 47","Woodstock","IL","60098",,"815-338-1296","E",,"Public - Call ahead","8am-5pm M-F, 8am-12pm Sat","Cash D M V",,,,,,,,,,"200-8","42.302938","-88.431897","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2002-01-11T00:00:00.000",,,"false",,"(42.302938, -88.431897)"
"23236","CNG","Village of Downers Grove","5101 Walnut Ave","Walnut Ave and Curtis St.","Downers Grove","IL","60515",,,"E",,"Private - Fleet customers only","Call 630-434-5509 to set up fueling account",,,"Q","3600",,,,,,,"200-9","41.793467","-88.051732","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2001-01-01T00:00:00.000",,"HD",,,"(41.793467, -88.051732)"
"26878","E85","Argonne National Laboratory","9700 S. Cass Avenue",,"Lemont","IL","60439",,,"E",,"Private","DOE fleet use only",,,,,,,,,,,"GPS","41.71298","-87.960781","2024-01-10T00:00:00.000","2024-01-31T16:07:01.000Z","FG","8","U.S. Department of Energy","2005-04-15T00:00:00.000",,,,"false","(41.71298, -87.960781)"
"26880","E85","Naval Station Great Lakes","2415 Spaulding St",,"Great Lakes","IL","60088",,,"E",,"Private - Government only",,,,,,,,,,,,"200-8","42.317212","-87.851241","2024-01-10T00:00:00.000","2024-01-31T16:07:01.000Z","FG","14","Department of Navy","2005-04-15T00:00:00.000",,,,"false","(42.317212, -87.851241)"
"28307","E85","Speedway #1417","4032 US Highway 34",,"Oswego","IL","60543",,"630-551-3310","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-9","41.687679","-88.338486","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2005-06-15T00:00:00.000",,,,"false","(41.687679, -88.338486)"
"28637","E85","Thorntons #125","2800 Ogden Ave",,"Aurora","IL","60504",,"630-820-6468","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-9","41.741088","-88.246494","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2006-07-15T00:00:00.000",,,,"true","(41.741088, -88.246494)"
"28770","E85","Speedway #1419","15060 S Bell Rd",,"Homer Glen","IL","60491",,"708-301-2388","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-9","41.614843","-87.931122","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2005-12-15T00:00:00.000",,,,"false","(41.614843, -87.931122)"
"29671","E85","Shell","750 E Higgins Rd",,"Schaumburg","IL","60173",,"847-843-2424","E",,"Public","24 hours daily","A Cash D Debit M V Wright_Exp",,,,,,,,,,"200-8","42.04152","-88.06058","2023-12-13T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2005-06-15T00:00:00.000",,,,"false","(42.04152, -88.06058)"
"30397","E85","Woodman's Grocery","151 Hansen Blvd",,"North Aurora","IL","60542",,"630-723-3900  877-798-3752","T","2023-10-23T00:00:00.000","TEMPORARILY UNAVAILABLE (Public - Credit card after hours)","7:15am-7:40pm M-Sun","Cash Checks D Debit",,,,,,,,,,"200-8","41.804458","-88.371594","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-01-15T00:00:00.000",,,,"false","(41.804458, -88.371594)"
"30753","E85","Meijer Gas #170","10240 Indianapolis Blvd",,"Highland","IN","46322",,"219-934-2129","E",,"Public","24 hours daily","A Cash Checks D M V Voyager Wright_Exp",,,,,,,,,,"GPS","41.5280837","-87.4712663","2023-08-10T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-02-15T00:00:00.000",,,,"false","(41.5280837, -87.4712663)"
"30760","E85","Meijer Gas #165","505 W Lincoln Hwy",,"Merrillville","IN","46410",,"219-650-3729","E",,"Public","24 hours daily","A Cash Checks D M V Voyager Wright_Exp",,,,,,,,,,"200-9","41.470147","-87.343218","2023-08-10T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-01-15T00:00:00.000",,,,"false","(41.470147, -87.343218)"
"30935","E85","Family Express - Valpo Market Place","204 Silhavy Rd",,"Valparaiso","IN","46383",,"219-477-1858","E",,"Public","5am-12am daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.46991","-87.02663","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2006-11-15T00:00:00.000",,,,"true","(41.46991, -87.02663)"
"30976","E85","Family Express - Hobart County Line Rd","9521 E Ridge Rd",,"Hobart","IN","46342",,"219-942-4978","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.55013","-87.22215","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-03-15T00:00:00.000",,,,"false","(41.55013, -87.22215)"
"30978","E85","Family Express - Kersey","5449 W State Route 10",,"Wheatfield","IN","46392",,"219-987-4484","E",,"Public","5am-10pm daily","A Cash CREDIT D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.1873","-87.15016","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-04-15T00:00:00.000",,,,"false","(41.1873, -87.15016)"
"31669","E85","Family Express - Kouts","104 S Main St","At corner of State Road 49 and 8","Kouts","IN","46347",,"219-766-2711","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.31793","-87.02621","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-05-15T00:00:00.000",,,,"false","(41.31793, -87.02621)"
"31671","E85","Family Express - Ameriplex","6250 Ameriplex Dr",,"Portage","IN","46368",,"219-764-3014","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.608","-87.17261","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-04-15T00:00:00.000",,,,"false","(41.608, -87.17261)"
"31704","E85","Family Express - Chesterton","1681 Pioneer Trail",,"Chesterton","IN","46304",,"219-395-8804","E",,"Public","4:30am-11pm daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.59415","-87.04261","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-05-15T00:00:00.000",,,,"true","(41.59415, -87.04261)"
"32368","E85","Shell - Circle K","220 W Virginia St","At the corner of W Virginia and Keith","Crystal Lake","IL","60014",,"815-459-7807","E",,"Public","24 hours daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","42.22776","-88.32859","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-06-15T00:00:00.000",,,,"false","(42.22776, -88.32859)"
"32567","E85","Family Express - Winfield","8010 E 109th Ave","Corner of 109th and Randolph","Crown Point","IN","46307",,"219-662-0686","E",,"Public","24 hours daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.42076","-87.23836","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-03-15T00:00:00.000",,,,"true","(41.42076, -87.23836)"
"32569","E85","Family Express - Remington Interstate","4179 W US Highway 24",,"Remington","IN","47977",,"219-261-2788","E",,"Public","5am-12am daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","40.76518","-87.12497","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2020-01-27T00:00:00.000",,,,"false","(40.76518, -87.12497)"
"32648","E85","Citgo - Aisha Wash and Fuel Island","5549 W Diversey Ave",,"Chicago","IL","60639",,"773-889-0241","E",,"Public","24 hours daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-9","41.930943","-87.765779","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-09-15T00:00:00.000",,,,"false","(41.930943, -87.765779)"
"32958","E85","Mobil - North Damen Mart","2801 N Damen Ave",,"Chicago","IL","60618",,"773-528-0461","E",,"Public - Credit card at all times","24 hours daily","A D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.932702","-87.67812","2023-12-13T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2008-03-15T00:00:00.000",,,,"false","(41.932702, -87.67812)"
"33072","E85","Mobil - Midway","8145 S Pulaski",,"Chicago","IL","60652",,"773-585-8912","E",,"Public","24 hours daily","A Cash D FuelMan M V Voyager Wright_Exp",,,,,,,,,,"200-9","41.744262","-87.72134","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2008-05-15T00:00:00.000",,,,"false","(41.744262, -87.72134)"
"33084","E85","City of Chicago FS#6","10101 S Stoney Island","101st and Stony Island","Chicago","IL","60617",,,"E",,"Private - Government only",,,,,,,,,,,,"200-9","41.710606","-87.623157","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2008-06-15T00:00:00.000",,,,"false","(41.710606, -87.623157)"
"33085","E85","City of Chicago FS#5","4833 W Sunnyside Ave","Sunnyside and Lamon","Chicago","IL","60630",,,"E",,"Private - Government only",,,,,,,,,,,,"200-8","41.962551","-87.748808","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2008-06-15T00:00:00.000",,,,"false","(41.962551, -87.748808)"
"33086","E85","City of Chicago FS#3","4233 W Ferdinand","Ferdinand and Tripp","Chicago","IL","60624",,,"E",,"Private - Government only",,,,,,,,,,,,"200-9","41.889066","-87.732603","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2008-06-15T00:00:00.000",,,,"false","(41.889066, -87.732603)"
"33087","E85","City of Chicago FS#9","25 W 65th St","65th and State","Chicago","IL","60621",,,"E",,"Private - Government only",,,,,,,,,,,,"200-8","41.776439","-87.625954","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2010-03-15T00:00:00.000",,,,"false","(41.776439, -87.625954)"
"33088","E85","City of Chicago FS#7","10000 W Montrose Ave","O'Hare Airport","Chicago","IL","60666",,,"E",,"Private - Government only",,,,,,,,,,,,"GPS","41.95940310555005","-87.83946993386843","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2008-06-15T00:00:00.000",,,,"false","(41.95940310555005, -87.83946993386843)"
"33089","E85","City of Chicago FS#4","3746 S Iron","Iron and 37th","Chicago","IL","60609",,,"E",,"Private - Government only",,,,,,,,,,,,"200-8","41.826171","-87.659383","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2008-10-15T00:00:00.000",,,,"false","(41.826171, -87.659383)"
"33144","CNG","City of Chicago FS#9","25 W 65th St","65th and State","Chicago","IL","60621",,,"E",,"Private - Government only",,,,"Q","3600",,,,,,,"200-8","41.776439","-87.625954","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2008-07-15T00:00:00.000",,"HD",,,"(41.776439, -87.625954)"
"33246","E85","Shell - Gages Lake","33978 N US 45",,"Gages Lake","IL","60030",,"847-223-9033","E",,"Public - Credit card after hours","6am-9pm daily","A Cash D Debit M V Wright_Exp",,,,,,,,,,"GPS","42.356644","-88.003008","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2008-07-15T00:00:00.000",,,,"false","(42.356644, -88.003008)"
"33497","E85","Family Express #34 - Roselawn","11880 W State Route 10","I-65, Exit 230","De Montte","IN","46310",,"219-345-4100","E",,"Public","4am-11pm daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.14482","-87.27383","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2008-09-01T00:00:00.000",,,,"false","(41.14482, -87.27383)"
"33536","CNG","Village of Oak Park","201 South Blvd",,"Oak Park","IL","60302",,,"T","2024-03-09T00:00:00.000","TEMPORARILY UNAVAILABLE (Private - Government only)",,,,"Q","3600",,,,,,,"200-8","41.887059","-87.780595","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2023-03-09T00:00:00.000",,"MD",,,"(41.887059, -87.780595)"
"33571","LPG","Forest Preserve District of DuPage County","29 W 220 Mack Rd",,"West Chicago","IL","60185",,,"E",,"Private - Government only",,,,,,,,,,,,"GPS","41.8421803","-88.18570235767208","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2008-12-18T00:00:00.000",,,,,"(41.8421803, -88.18570235767208)"
"33777","E85","Shell - East Dundee","1097 E Main St",,"East Dundee","IL","60118",,"847-428-4205","E",,"Public - Credit card after hours","5am-12am daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","42.088071","-88.244838","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2007-01-01T00:00:00.000",,,,"false","(42.088071, -88.244838)"
"33934","E85","Mobil - Lisle","5500 S Lincoln",,"Lisle","IL","60532",,"630-963-2810","E",,"Public - Credit card after hours","5am-11pm daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"GPS","41.78648498972133","-88.07452908465575","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2008-12-23T00:00:00.000",,,,"false","(41.78648498972133, -88.07452908465575)"
"35095","E85","Kwik Trip #485","6 W Hidden Trail","Pump 17 and 18, on Hwy 67/12, right in front of Hampton Inn, to right of McDonald's","Elkhorn","WI","53121",,"262-723-7179","E",,"Public","24 hours daily","A ANDROID_PAY APPLE_PAY Cash Checks CREDIT D M V Voyager Wright_Exp",,,,,,,,,,"GPS","42.694575","-88.54249","2023-05-03T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2009-10-22T00:00:00.000",,,,"false","(42.694575, -88.54249)"
"35533","E85","Power Mart","572 W Lake St",,"Elmhurst","IL","60126",,"630-592-4599","E",,"Public","5:30am-11pm M-F, 7am-12am Sat, 7am-10pm Sun","A Cash D M V",,,,,,,,,,"200-9","41.919913","-87.958905","2023-08-10T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2017-10-15T00:00:00.000",,,,"false","(41.919913, -87.958905)"
"35708","E85","Family Express - Rensselaer Interstate","8805 W State Rd 114","Off I-65, exit 215","Rensselaer","IN","47978",,"219-866-8444","E",,"Public","24 hours daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","40.94046","-87.21496","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2010-06-15T00:00:00.000",,,,"false","(40.94046, -87.21496)"
"35709","E85","Family Express - South Haven East","298 W US 6",,"Valparaiso","IN","46385",,"219-762-2667","E",,"Public","4am-11pm daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.54981","-87.12368","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2005-06-15T00:00:00.000",,,,"false","(41.54981, -87.12368)"
"35710","E85","Family Express - Valpo 130","252 W State Rd 130",,"Valparaiso","IN","46383",,"219-531-6490","E",,"Public","24 hours daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-9","41.492006","-87.114922","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2010-06-15T00:00:00.000",,,,"false","(41.492006, -87.114922)"
"35711","E85","Family Express - Valpo Burlington Beach","1901 Burlington Beach Rd",,"Valparaiso","IN","46383",,"219-462-9797","E",,"Public","4am-12am daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.50745","-87.03799","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2010-06-15T00:00:00.000",,,,"true","(41.50745, -87.03799)"
"35712","E85","Family Express - Valpo West","752 W Lincolnway",,"Valparaiso","IN","46385",,"219-462-8040","E",,"Public","5am-11pm daily","A Cash CREDIT D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.46898","-87.07002","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2009-10-15T00:00:00.000",,,,"false","(41.46898, -87.07002)"
"36318","E85","City of Chicago FS#2","6445 N Ravenswood Ave","Devon and Ravenswood","Chicago","IL","60626",,,"E",,"Private - Government only",,,,,,,,,,,,"200-8","41.998997","-87.675032","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2011-11-15T00:00:00.000",,,,"false","(41.998997, -87.675032)"
"36319","E85","City of Chicago FS#202","5150 W 63rd St","63rd and Laramie","Chicago","IL","60638",,,"E",,"Private - Government only",,,,,,,,,,,,"200-8","41.778249","-87.750999","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2011-11-10T00:00:00.000",,,,"false","(41.778249, -87.750999)"
"36320","E85","City of Chicago FS#205","3245 N Campbell","Belmont & Western","Chicago","IL","60618",,,"E",,"Private - Government only",,,,,,,,,,,,"200-8","41.940786","-87.690611","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2012-03-31T00:00:00.000",,,,"false","(41.940786, -87.690611)"
"36321","E85","City of Chicago FS#8","10420 S Vincennes","104th and Vincennes","Chicago","IL","60643",,,"E",,"Private - Government only",,,,,,,,,,,,"200-8","41.704048","-87.657047","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","LG",,,"2011-10-15T00:00:00.000",,,,"false","(41.704048, -87.657047)"
"36581","CNG","CNG Calumet","130 State St",,"Calumet City","IL","60409",,"773-960-5642","E",,"Public - Credit card at all times","24 hours daily","D FuelMan M V Voyager Wright_Exp",,"Q","3600",,,,,,,"200-9","41.622812","-87.527426","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2013-08-01T00:00:00.000",,"HD",,,"(41.622812, -87.527426)"
"36619","ELEC","INTERPARK 50 EAST OHIO 2","50 E Ohio St",,"Chicago","IL","60611",,"888-758-4389","T","2022-09-09T00:00:00.000","TEMPORARILY UNAVAILABLE (Public)","24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging",,,,,"1","1",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","41.892757","-87.626038","2024-05-09T00:00:00.000","2024-05-08T19:24:36.000Z",,,,"2011-02-15T00:00:00.000",,,,,"(41.892757, -87.626038)"
"36780","E85","Raceco","450 Cicero Ave",,"University Park","IL","60484",,"708-534-3050","E",,"Public","24 hours daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"GPS","41.456092","-87.733179","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2008-10-31T00:00:00.000",,,,"false","(41.456092, -87.733179)"
"36789","E85","Ceres Solutions LLP","1466 N McKinley Ave",,"Rensselaer","IN","47978",,"219-866-2801","E",,"Public - Credit card after hours","7:30am-5pm M-F, 7:30am-12pm Sat","A Cash D Debit M V Wright_Exp",,,,,,,,,,"200-8","40.94967","-87.15175","2023-10-12T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2010-05-30T00:00:00.000",,,,"false","(40.94967, -87.15175)"
"36889","E85","Circle K","1501 N Division St",,"Morris","IL","60450",,"815-416-1338","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.3725182","-88.4219927","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2010-12-20T00:00:00.000",,,,"false","(41.3725182, -88.4219927)"
"36891","E85","Citgo","13501 S Kedzie Ave",,"Robbins","IL","60472",,"708-388-6000","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"200-8","41.64748","-87.69882","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2008-11-30T00:00:00.000",,,,"false","(41.64748, -87.69882)"
"36915","E85","Shell","17951 Halsted St",,"Homewood","IL","60430",,"708-590-4099","E",,"Public","24 hours daily","A Cash D Debit M V Voyager Wright_Exp",,,,,,,,,,"200-9","41.563316","-87.635825","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2009-10-31T00:00:00.000",,,,"false","(41.563316, -87.635825)"
"36949","ELEC","GATEWAYKENOSHA HORIZON MAINLOT","4940 88th Avenue",,"Kenosha","WI","53144",,"888-758-4389","T","2023-10-30T00:00:00.000","TEMPORARILY UNAVAILABLE (Public)","24 hours daily",,,,,,"2",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.592469","-87.915847","2024-05-09T00:00:00.000","2024-05-08T19:46:52.000Z",,,,"2010-10-15T00:00:00.000",,,,,"(42.592469, -87.915847)"
"38068","E85","Thorntons #310","205 S US Highway 12",,"Volo","IL","60073",,"815-578-9085","E",,"Public","24 hours daily","A Cash D M V Voyager Wright_Exp",,,,,,,,,,"GPS","42.324636","-88.164053","2023-09-14T00:00:00.000","2024-01-31T16:07:01.000Z","P",,,"2010-11-30T00:00:00.000",,,,"false","(42.324636, -88.164053)"
"38774","ELEC","Town of Dyer - Town Hall","1 Town Square","Route 30/ Hart Street","Dyer","IN","46311",,"219-865-6108","E",,"Public","24 hours daily",,,,,,"2",,,"Non-Networked",,"GPS","41.492057","-87.522819","2023-01-10T00:00:00.000","2023-02-14T09:54:11.000Z","LG",,,"2010-10-15T00:00:00.000",,,,,"(41.492057, -87.522819)"
