"mural_registration_id","artist_credit","artwork_title","media","year_installed","year_restored","location_description","street_address","zip","ward","affiliated_or_commissioning","description_of_artwork","community_areas","latitude","longitude","location"
"19417","Louise Jones","Mural at 3258 N Damen","Paint","2022",,"Damen and School Street","3258 N Damen Ave","60618","32",,"A bouquet of flowers including peonies, rudbeckia, echinacea, tulips, coreopsis, flowering dogwood, and a swallowtail butterfly.","5","41.94134948","-87.67855026","POINT (-87.67855026 41.94134948)"
"19430","Jeffrey Green","The Digital Frontier","Paint","2012",,"CTA embankment wall","N Glenwood Ave & W Morse Ave","60626","49",,"Internationally respected DOZE GREEN is the featured artist for the 2012 block-long Glenwood wall from Morse to Farwell. His mural, ""The Digital Frontier"" relates to the impact of technology on communication and the eternal creating and breaking of boundaries.     Doze uses simple graphic imagery combined with complex layering and color movement to show the constant flux of realities, addressing the present moment and connecting it with the past and future. Light beams emanating from individual faces map the manifestation of ideas and the future, and arms are raised for the revolutions and uprisings. Waves show the movement of technology, language and science and windows within windows will represent limitations, barriers, privacy rights and global censorship.","1","42.00863165","-87.66634767","POINT (-87.66634767 42.00863165)"
"19070","Andy Bellomo, Bernard Williams","Chinatown Centenial Mural","Paint and Mixed Media","2015",,"S Archer Ave between S Wentworth Ave and S Clark St","2026 South Clark St","60616","25","Chicago Public Art Group",,"35","41.8545508","-87.63028972","POINT (-87.63028972 41.8545508)"
"19366","Antonio Beniquez","Untitled",,"2020",,"Reliable Auto Repair Center","3401 N Ashland Ave","60657","44","Lakeview Chamber of Commerce",,,"41.9436182","-87.6683774","POINT (-87.6683774 41.9436182)"
"19102","Dzine and Olivia Gude","Still Deferred; Still Dreaming",,"1993",,"Boys and Girls Club of Chicago","2950 W Washington Blvd","60612","27","Chicago Public Art Group","Completed 1993. Artists Dzine and Olivia Gude. This unique mural combibes spraycan art with traditional brush mural techniques. The mural design includes images of Martin Luther King Jr., Ghandi, and stencil designs created by children from the MLK Boys and Girls Club. From 1993 (http://picasaweb.google.com/chicagopublicartgroup/1993?feat=embedwebsite)","28","41.8829604","-87.70082741","POINT (-87.70082741 41.8829604)"
"19348","David Orozco","The Blue Goose Mural",,"2020",,"Corner Storefront","2901-03 N Milwaukee Ave","60618","35",,,,"41.934048","-87.71538","POINT (-87.71538 41.934048)"
"19334","Justus Roe","Brightoners","Acrylic and exterior latex paint","2019",,"Garage","3631 S Maplewood Ave","60632","12",,"abstract landscape painting",,"41.8274976","-87.68849845","POINT (-87.68849845 41.8274976)"
"19235","Janis Pozzi","Ingles",,"1974","2017",,"1226 W Ainslie St","60640","46",,,"3","41.97155144","-87.66095348","POINT (-87.66095348 41.97155144)"
"19089","Jasmine Petersen","Las Puertas de Paseo Boricua","Paint and Mixed Media","2017",,"Division St between Western Ave and California Ave","2500 W Division St","60622","26","DCASE","Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.","25","41.90310194","-87.68955175","POINT (-87.68955175 41.90310194)"
"19353","Sharon Dowell","Untitled",,"2020","NA","Condominium Owner (Eileen Murphy)","3418 N Ashland Ave","60657","47",,,,"41.9147051","-87.6678529","POINT (-87.6678529 41.9147051)"
"19409","Stephen Eric Lee","""Hide & Seek""","Paint","2022",,"Wear Moi Chicago","3352 N Broadway","60657","44",,"a depiction of a female dancer coming through an ornate gold frame. Inspiration from an E.LEE painting created in 2018 for a show working with dancers from Hubbard Street. Painting is based off a photo of dancer Jacqueline Burnett","6","41.94335934","-87.64499875","POINT (-87.64499875 41.94335934)"
"19116","Steven Carrelli","Armitage Ghost Mural","Paint","2017",,"Wall bordering Armitage Avenue Brown Line exit on south side of Armitage Ave","939 W Armitage Ave","60614","43",,"Armitage Ghost Mural evokes the architectural identity of the Armitage-Halsted Landmark District. Its materials and design reference the neighborhoodâ€™s history as one of Chicagoâ€™s first-generation commercial districts.","68","41.91800819","-87.65246197","POINT (-87.65246197 41.91800819)"
"19218","John Vergara","Legends","Paint","2018",,"east side of building","3501 W Pierce Ave","60651","26","Piece Memorial Mural - Word Dealers","The memorial wall is celebrating the life and contributions of four Puerto Rican, artists, poets, activist and trail blazers in the arts and literary world.  The homage to these poets, artist and activist is to bring to the public an awareness of their artistic legacy and give them recognition for their journey in using the spoken word and brush to paint with pride and dignity so future generations will stand strong and be proud of their cultural ties.  Featured from left to right Legend pioneers, Salima Rivera (1946-2004) David Hernandez (1946-2013) Gamaliel Ramirez (1949-2018) and Julia De Burgos (1914-1953) - The wall features black and white images of these Puerto Ricans with excerpts of their poetry in proximity of their image along with shadow images of icons relevant to their character.  The span of the background of the mural is of the Puerto Rican Flag.  Assistant Artist ï¿½ John Pitman Weber, Patricia Perez and Alisa Scott","23","41.90898862","-87.71444623","POINT (-87.71444623 41.90898862)"
"19277","Jenny Vyas","HowWillYouRise",,"2019",,"Uptown Ace Hardware","4654 N Broadway","60640","46",,,,"41.96675345","-87.65849862","POINT (-87.65849862 41.96675345)"
"19309","Justus Roe","South Shore","Acrylic and exterior latex paint","2013","2018","South7152 S Exchange Ave","7152 S Exchange Ave","60649","7",,"abstract landscape painting",,"41.76470569","-87.56555082","POINT (-87.56555082 41.76470569)"
"19006","John Pitman Weber","TILT (Together Protect the Community)",,"1976","2005",,"2654 W Fullerton","60647","1","Chicago Public Art Group",,"25","41.92494372","-87.69467615","POINT (-87.69467615 41.92494372)"
"19121","Miriam Socoloff and Cynthia Weiss","Fabric of Our Lives",,"1980",,,"3003 W Touhy Ave","60645","50","Chicago Public Art Group","Artists Miriam Socoloff and Cynthia Weiss. 1980. Located at the Bernard Horwich Jewish Community Center, this ceramic and glass tile mosaic represents Jewish history in Chicago, a theme long neglected in Chicago's many historical murals. From 1980 )","20","42.01185028","-87.70464009","POINT (-87.70464009 42.01185028)"
"19248","Frank Quintero","Home in Uptown","paint","2019",,,"1140 Wilson Avenue","60640","46",,,,"41.96548895","-87.6591587","POINT (-87.6591587 41.96548895)"
"19380","Brett Whitacre","Remain in Light",,"2021",,"The Wilson Club Apartments","1124 W Wilson Ave","60640","46","Uptown United",,,"41.96549603","-87.65848068","POINT (-87.65848068 41.96549603)"
"19441","BboyB ABC","Project Congress","Paint","2006",,"Congress Theater","2135 N Milwaukee Ave","60647","1","ABC","The Congress Theater started as a permission space from the owner Eddie Carranza circa 2006, which was obtained by BboyB. Currently, BboyB still curated the boarded-up spots at the Congress Theater. The revolving art has been curated by BboyB for the past 2 years.","22","1914109.45","1158665.31","POINT (1158665.31 1914109.45)"
"19270","Marry Tonnu","Letter U",,"2019",,,"1516 W Cortland St","60642","2","22",,,"41.91664982","-87.66608117","POINT (-87.66608117 41.91664982)"
"19203","Shinique Smith","I Am Love","Paint","2017",,,"1600 S State St","60616","3","Wabash Arts Corridor","(Photo Credit: Sandra Steinbrecher)","33","41.8601185","-87.62740831","POINT (-87.62740831 41.8601185)"
"19011","Mitchell Caton and William Walker","The Wall of Daydreaming and Man's Inhumanity to Man",,"1975",,"S Calumet Ave & E 47th ST","328 East 47th St","60653","3","Chicago Public Art Group","Artist Mitchell Caton. 1975. The Wall of Daydreaming (fully titled The Wall of Daydreaming and Man's Inhumanity to Man) was meant to express the people's needs, social ills, and community grievances. From 1975","4","41.80946567","-87.61831493","POINT (-87.61831493 41.80946567)"
"19386","Benjamin Stanley","I Love You",,"2021",,"The Wilson Club Apartments","1124 W Wilson Ave","60640","46","Uptown United",,,"41.96549603","-87.65848068","POINT (-87.65848068 41.96549603)"
"19385","Nate Otto","Uptown City",,"2021",,"The Wilson Club Apartments","1124 W Wilson Ave","60640","46","Uptown United",,,"41.96549603","-87.65848068","POINT (-87.65848068 41.96549603)"
"19057","Chris Silva",,"Spray","2016",,"Fence","2730 Karlov","60623","22","Yollocalli Arts Reach","students of Chris Silva took the lead on this colorful fence project in La Villita in summer 2016.",,"41.841405","-87.727103","POINT (-87.727103 41.841405)"
"19143","Tony Passero and Arts Alive Chicago","Feather Run",,"2017",,"Merrimac Park","6343 West Irving Park Road","60634","38","DCASE","Installed by Arts Alive Chicago from an original design painted by Tony Passero, Feather Run depicts two vibrant peacocks meeting in the center of a field of abstract symbols. It can be found on the east elevation of the Merrimac Park fieldhouse.","17","41.95281566","-87.78582729","POINT (-87.78582729 41.95281566)"
"19341","Brett Whitacre","Ode to the Messenger",,"2020",,"The Bachelor Garage Door","4610 N Clifton Ave","60640","46",,,,"41.96614","-87.65903","POINT (-87.65903 41.96614)"
"19154","Shawnimals",,"Paint","2018",,"Cards Against Humanity HQ","1551 W Homer St","60642","2","Cards Against Humanity HQ","Shawn Smith, creator of Shawnimals and Ninjatown, makes things that inspire and delight people.","22","41.91720864","-87.66683738","POINT (-87.66683738 41.91720864)"
"19175","Jacob Watts","Moose Bubblegum Bubble","Paint","2014",,,"33 E. Congress","60605","4","Wabash Arts Corridor","Street art and graffiti are no longer strictly defined as vandalism and deserves to be recognized as a valid and important art genre, said Shepard Fairey, artist and curator of The Provocateurs. It challenges the notion that public space should be dominated by advertising and government signage. Columbia College and the City of Chicago have enthusiastically supported our outdoor mural project.ï¿½","32","41.87557316","-87.62637611","POINT (-87.62637611 41.87557316)"
"19405","Todd McCafrey","Punk Pigeon","Paint","2022",,"Schuba's Tavern","3159 N Southport Ave","60657","44",,"Artwork depicts a punk rock pigeon with a tri-color mohawk standing on the
sidewalk against a blue backdrop. The pigeon is holding a red electric guitar and donning a
leather jacket with several patches.","6","41.93972","-87.66367245","POINT (-87.66367245 41.93972)"
"19186","Don't Fret","Gift To The Class of 2016","Paint","2016",,,"1152 S Wabash","60605","4","Wabash Arts Corridor","(Photo Credit: Sandra Steinbrecher) Donï¿½t Fret is a Chicago native and Columbia College alum and his practice includes drawing, painting, sculpture, performance and installation-based work both on the street and in the gallery space.","32","41.86769438","-87.62597903","POINT (-87.62597903 41.86769438)"
"19025","Albert Zeno","Alewives 1972/2009",,"1972","2009","55th & S Lake Park","5506 South Lake Park Ave","60637","5","Chicago Public Art Group","Original Artist: Albert Zeno. 2009 Artist: Damon Lamar Reed","8","41.79493407","-87.58773626","POINT (-87.58773626 41.79493407)"
"19289","Barrett Keithley","Intergallactic Lovers or nahï¿½","Spray Paint","2017",,"Sullivan Center Alley","25 E Monroe St","60603","42","Chicago Loop Alliance","Can you have a person embody the universal truth of love or nahï¿½ This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.",,"41.88066939","-87.62680815","POINT (-87.62680815 41.88066939)"
"19302","CERA","calmness & serenity",,"2018",,"Candace M Leitheiser","1103 N Ashland Ave","60622","2",,"mural",,"41.90162687","-87.66730041","POINT (-87.66730041 41.90162687)"
"19321","Justus Roe","Devils Mile","Acrylic and exterior latex paint","2016","2018","Northof 1023 s. State building","1023 S State St","60605","4",,"abstract landscape painting",,"41.86939111","-87.62732369","POINT (-87.62732369 41.86939111)"
"19437","Sam Kirk","We Are Proud","Paint","2022",,"Central West Center","2102 West Ogden Ave","60612","28",,"A many panel mural created with input over 5 sessions with disability community members, MOPD, DCASE & DFSS.  Mural has lenticular panels so that the asl signs move, and tactile paint for a touch experience .  Installed and unveiled 10/2022","28","41.87046373","-87.6793603","POINT (-87.6793603 41.87046373)"
"19038","Port
Ministries with
Gloria ""Gloe""ï¿½
Talamantes","We Grow Here Too","Painting","2017",,"Viaduct at Garfield Boulevard and Wallace St","Garfield Boulevard and Wallace St","60609","20","DCASE","When scouting the location for her mural with Port Ministries, Artist Gloria Talamantes thought about the homeowners who refused buyouts for the Norfolk Southern railroad freight yard expansion in Englewood. Believing in the healing properties of flowers, she has incorporated flowers to surround people as they walk and ride by the mural.",,"41.794471","-87.640385","POINT (-87.640385 41.794471)"
"19026","Marcus Akinlana and Olivia Gude","Where There Is Discord, Harmony:The Power of Art",,"1991",,,"1801 East 71st St","60649","7","Chicago Public Art Group","Completed 1991. Artists Marcus Akinlana and Olivia Gude. This incerdible mural involved the entire community in its design: community members were invited to contribute ideas, images and poems. The mural is a combination of language and images, including poems from five local poets. From 1991","39","41.76591555","-87.58119192","POINT (-87.58119192 41.76591555)"
"19258","Marry Tonnu","Letter I",,"2019",,,"1720 N Elston Ave","60642","2","24",,,"41.91357484","-87.66444475","POINT (-87.66444475 41.91357484)"
"19053","Pop Up Mural Shop","Bonita Finca de Adobe",,"2014",,"Tony's Fashion","3645 West 26th St","60623","22","Yollocalli Arts Reach","Yollocalli youth interns, the Pop Up Mural Shop,  painted ""Bonita Finca de Adobe"" in the summer of 2014.","32","41.84425035","-87.71652732","POINT (-87.71652732 41.84425035)"
"19015","Rahmann Statik","HPKO Project: Instinctive Movements",,"2008",,"47th and Lake Park Viaduct","4700 South Lake Park Ave","60615","4","Chicago Public Art Group","2008. Artist Rahmann Statik. This acrylic and spray paint mural spans the 47th and Lake Park viaduct in Hyde Park. It was created to show an evolution of community, color, and nature.","5","41.80953478","-87.59245022","POINT (-87.59245022 41.80953478)"
"19185","Dmnology","Stars & Styles","Paint","2016",,,"618 S Wabash","60605","4","Wabash Arts Corridor","(Photo Credit: Sandra Steinbrecher) DMNOLOGY or ï¿½DMNï¿½ the graffiti sorcerer, hails from the city of Chicago. He embarked on his artistic journey at an early age in the inner city neighborhoods, spray painting his nom de plume ï¿½Demonï¿½ on the walls and elevated trains of Chicago. Although, he prefers to call it the ï¿½Wild Onionï¿½ style in reference to the indigenous name of Chicago. His style ranges from abstract to illustrative.","32","41.87398405","-87.62613334","POINT (-87.62613334 41.87398405)"
"19373","Tony Passero","Spin Cycles","Paint","2015",,"Spin Cycles Mural is six panels placed on the wall of the shopping complex building located on 4900 block of West Cuyler Avenue just off the Milwaukee Avenue intersection.","4063 N Milwaukee Ave","60641","45","Six Corners Association","6 painted panels with bicycles in front of a circle",,"41.95473475","-87.74919278","POINT (-87.74919278 41.95473475)"
"19111","Sam Kirk and Sandra Antongiorgi","I Am Logan Square","Paint","2017",,"Kedzie Ave and Milwaukee Ave","2639 N Milwaukee Ave","60647","35","DCASE","To create I Am Logan Square, Kirk and fellow Artists Sandra Antongiorgi and Jenny Q worked to understand what was important to community members. The large, vibrant mural asks residents to remember the past and consider the people and systems that create and define communities","23","41.92979861","-87.70837014","POINT (-87.70837014 41.92979861)"
"19126","Green Star Movement","We Are One",,"2018",,"Viaduct at 79th Street and Kedzie Ave","3141 West 79th St","60652","18","DCASE","Green Star Movement responded to the 18th Wardâ€™s request for a mural design that would connect the neighborhoods that make up the Ward. Chicago is divided into 50 wards, whose boundaries change as a result of the federal census to give equal representation based on population. Wards sometimes contain multiple neighborhoods, since neighborhood boundaries do not shift. Located in the center of the Ward, the mosaic wraps around the Metra viaduct walls at a busy intersection and the names of five neighborhoodsâ€”Auburn Gresham, Ashburn, Chicago Lawn, Scottsdale, Wrightwoodâ€”span across it. The mosaic also seeks to showcase the diversity in the area, make the viaduct more pedestrian friendly, and highlight that many ward residents are civil servants, including police and fire fighters.","69","41.74963234","-87.70153712","POINT (-87.70153712 41.74963234)"
"19345","E. LEE","Looming Large",,"2020",,"The Bachelor (Apartments)","1140 W Wilson Ave","60640","46",,,,"41.9655","-87.65906","POINT (-87.65906 41.9655)"
"19358","Heart & Bone","I Will, We Will",,"2020",,"Dalia Food Mart","4661 N Broadway","60640","46","Uptown United",,,"41.9670427","-87.6581181","POINT (-87.6581181 41.9670427)"
"19197","Andrea Dunn","Peacock","Paint","2016",,,"623 S Wabash","60605","42","Wabash Arts Corridor","(Photo Credit: Sandra Steinbrecher) Andrea Dunn is the winner of the 2016 Peopleï¿½s Choice mural. While working on this project Dunn stated, ï¿½ The peacock is a symbol of allowing myself to be free and explore abstract shapes, but in a contained space.ï¿½-  as quoted in Sandra","32","41.87390846","-87.62583771","POINT (-87.62583771 41.87390846)"
"19158","Tara McPherson",,"Paint","2018",,"Cards Against Humanity HQ","1551 W Homer St","60642","2","Cards Against Humanity HQ","Tara McPherson is an artist based in New York. Creating art about people and their odd ways, her characters seem to exude an idealized innocence with a glimpse of hard earned wisdom in their eyes. Her portraits explore the realms of our psychological states via myths, legends, astronomy, physics, nature, love, loss, childhood and good old life experience. Giving us a peek into the complexities of the human psyche through her otherwordly characters.","22","41.91720864","-87.66683738","POINT (-87.66683738 41.91720864)"
"19190","Marina Zumi","Impossible Meeting","Paint","2016",,,"901 S Michigan Ave","60605","4","Wabash Arts Corridor","(Photo Credit: Sandra Steinbrecher) Marina Zumi is most associated with the early street art scene and her work with one of the formative groups ï¿½Expression Sessionsï¿½ in Buenos Aires. Zumi came to street art from a fashion design background which has contributed to the development of a unique style that is colorful and feminine.

While working on this project Zumi stated,  ï¿½My motivation comes in my daily life. I try to reflect human behavior through natural and animal scenesï¿½ ï¿½  as quoted in Sandra Steinbrecherï¿½s Wabash Arts Corridor / Big Walls / 2016","32","41.8705633","-87.62399297","POINT (-87.62399297 41.8705633)"
"19021","Burroughs, Evans, Himmelfarb, & Jones","Hyde Park Art Panels",,"2009",,"South Shore between 53rd and 55th St","5300 South Shore Dr","60615","5","Chicago Public Art Group","Artists: Burroughs, Evans, Himmelfarb, & Jones. 2009. CPAG oversaw the production and installation of 18 large format digital prints from the four Artists. The panels are located at the underpasses of 53rd and 55th in Hyde Park. The picture below is of two panels by Artist Margaret Burroughs. From 2009",,"41.79529493","-87.58752503","POINT (-87.58752503 41.79529493)"
"19422","Peter Hurley","Chicago Musicians Past & Present","Paint","2022",,"CTA embankment wall","W Lunt Ave & N Glenwood Ave","60626","49",,"Artist and Chicago native Peter Hurley selected over 25 Chicago musicians to be featured in this block-long mural. Musical notes are stenciled through out and as the CTA wall gets repaired, more artists will be added.","1","42.00838892","-87.6663393","POINT (-87.6663393 42.00838892)"
"19047","Chema Skandal","Together We Fly Higher","Spray + Brush","2017",,"LÃ¡zaro Cardenas Elementary School","2406 South Central Park Ave","60623","22","Yollocalli Arts Reach","This mural was created by Yollocalli Public Art interns with Chema Skandal For Cardenas School in the summer of 2017.","32","41.84777119","-87.71503378","POINT (-87.71503378 41.84777119)"
"19094","Missy Rosa","Las Puertas de Paseo Boricua","Paint and Mixed Media","2017",,"Division St between Western Ave and California Ave","2517 W Division St","60622","26","DCASE","Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.","25","41.90287692","-87.69018293","POINT (-87.69018293 41.90287692)"
"19285","Reco The Great and Barrett Keithley","King's Ranson","Satin Paint and Spray Paint","2019",,,"330 N MacChesney Court","60601","42","Chicago Loop Alliance","King's Ransom is about the multiplicity of an individual's personality. The joker, the squire, and the king are within us all. It's up to us to know when to use which character in the right situation. The king can be hostage to other parts of his own character. This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.",,"41.88761537","-87.62530112","POINT (-87.62530112 41.88761537)"
"19326","Justus Roe","South Old Irving","Acrylic and exterior latex paint","2019",,"Garage","3928 W Cornelia Ave","60618","30",,"abstract landscape painting",,"41.94468083","-87.72606579","POINT (-87.72606579 41.94468083)"
"19153","Greve",,"Paint","2018",,"Cards Against Humanity HQ","1551 W Homer St","60642","2","Cards Against Humanity HQ","A visual artist and Chicago native, Greve began writing graffiti in the early 90ï¿½s at the age of 13. Spray paint is the medium that he is most familiar and comfortable, along with acrylics, generally for more detailed works.","22","41.91720864","-87.66683738","POINT (-87.66683738 41.91720864)"
"19229","Laura Berger",,"Paint","2011",,,"2045 W Concord Pl","60647","2",,,"24","41.91127477","-87.67928033","POINT (-87.67928033 41.91127477)"
"19290","Dwight White","Lost in Now","Spray Paint","2017",,"Sullivan Center Alley","25 E Monroe St","60603","42","Chicago Loop Alliance","A hidden treasure in the heart of the city. Created to capture the idea that as long as one of them is focused on their love, it won't be lost. Sometimes focus is in a meditation state and other times it's all about setting eyes on what's to be built in the future. This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.",,"41.88066939","-87.62680815","POINT (-87.62680815 41.88066939)"
"19058","Gloria ""GLOE"" Talamantes","Temple of Bloom","Spray","2016",,"Los Globos","3059 S Central Park Ave","60623","22","Yollocalli Arts Reach","Created in the summer of 2016, this spray painted mural was a collaboration with students and lead Artist GLO.","32","41.83714877","-87.71444789","POINT (-87.71444789 41.83714877)"
"19317","Justus Roe","16th & Halsted","Acrylic and exterior latex paint","2015","2019","North west corner embankment of 16th st. and Halsted","808 W 16th St","60608","25",,"abstract landscape painting",,"41.86001454","-87.64710553","POINT (-87.64710553 41.86001454)"
"19079","Ricardo Martinez, FEDZ, Thomas, Axel","Alley Wall Project","spray","2014",,"Giordano's Pizza, alley","1401 W 18th St","60608","25","Yollocalli Arts Reach","Thanks to Alderman Solis and his Art in Public Spaces Initiative, Yollocalli Youth have been able to create works of art in the alley by our 1401 W 18th street building.","33","41.85776469","-87.66138509","POINT (-87.66138509 41.85776469)"
"19262","Marry Tonnu","Letter M",,"2019",,,"1324 W Concord Place","60642","2","24",,,"41.91240433","-87.66153051","POINT (-87.66153051 41.91240433)"
"19030","Cyd Smillie with
Arts Alive Chicago","In Service","Painting","2018",,"Wallace Street Viaduct","4000 South Wallace St","60609","11","DCASE",,"59","41.82168669","-87.64116028","POINT (-87.64116028 41.82168669)"
"19217","David Heo","Paradise Unlost","Paint","2018",,"Missio Dei Chicago","1242 W Addison St","60613","44","Missio Dei Chicago","This 26 x 15 ft. outdoor mural located in the Lakeview neighborhood in Chicago was executed with the intent to kindle a sense of vibrancy, to beautify a seemingly ordinary neighborhood and to re-emulate the subliminal affects from nature, spirit and empathy. (from artist)","6","41.94723011","-87.66086909","POINT (-87.66086909 41.94723011)"
"19165","Cyd Smillie","What We Create","Paint","2017",,"West facing wall of liquor store","1813 W 63rd Street","60636","15",,"""What we create"" was funded in part thru an IAP grant from DCASE. It features what women do from house care and child care to creation to keeping dreams. The faces of the women are the faces of women in the community and Elizabeth Catlett on the far right. This mural was painted in part by the campers of I Grow Chicago.","67","41.77926508","-87.66967833","POINT (-87.66967833 41.77926508)"
"19180","Kashink","Be The Change You Want To See","Paint","2015",,,"801 S Wabash","60605","4","Wabash Arts Corridor","French artist, Kashink, is known for painting large four-eyes characters, using bright colors and thick lines. She says she likes exploring the absurdity of social interactions through the theme of masks, the taboo of death and the various ways of dealing with it, especially in the Latino culture. Kashink is also known for wearing a mustache, much like the images she creates. Thanks to Chicago Truborn Gallery for curating this piece. ï¿½Be The Changeï¿½ (above Kashnikï¿½s piece) painted by Stuk One.","32","41.87177833","-87.62578912","POINT (-87.62578912 41.87177833)"
