"tow_date","make","style","model","color","plate","state","towed_to_address","tow_facility_phone","inventory_number"
"2024-04-22T00:00:00.000","LEXS","4D",,"GRY","AL93008","IL","701 N. Sacramento","(773) 265-7605","7089177"
"2024-03-14T00:00:00.000","MERZ","4D",,,"DD18673","IL","701 N. Sacramento","(773) 265-7605","7085672"
"2024-05-09T00:00:00.000","JEEP","LL",,"RED","AN18259","IL","701 N. Sacramento","(773) 265-7605","7090414"
"2024-02-19T00:00:00.000","LAND","LL",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","0296486"
"2024-02-29T00:00:00.000","JEEP","LL","TK","BLK","NWW557","IA","701 N. Sacramento","(773) 265-7605","7084161"
"2024-05-05T00:00:00.000","HYUN","4D",,"BLU","S434725","IN","10300 S. Doty","(773) 568-8495","2968880"
"2024-04-23T00:00:00.000","CHEV","4D",,"SIL","KCE441","MN","701 N. Sacramento","(773) 265-1846","1547307"
"2024-05-03T00:00:00.000","CHRY","4D",,"BLK","EQ23488","IL","10300 S. Doty","(773) 568-8495","2968781"
"2024-05-07T00:00:00.000","PONT","4D",,"GRY",,"IL","10300 S. Doty","(773) 568-8495","2968955"
"2024-03-31T00:00:00.000","HOND","LL",,"WHI","CT51010","IL","400 E. Lower Wacker","(312) 744-7550","0300066"
"2024-04-27T00:00:00.000","JEEP","LL",,"GRN","EG79411","IL","701 N. Sacramento","(773) 265-7605","7089533"
"2024-02-19T00:00:00.000","CHRY","4D",,"WHI",,"IL","10300 S. Doty","(773) 568-8495","2964869"
"2024-04-17T00:00:00.000","SATR","4D",,"GRY","755AB723","IL","701 N. Sacramento","(773) 265-1846","1547272"
"2024-04-29T00:00:00.000","HOND","VN",,"GRY","008220A9","IL","701 N. Sacramento","(773) 265-7605","7089746"
"2024-04-27T00:00:00.000","HOND","2D",,"WHI","EJ22581","IL","701 N. Sacramento","(773) 265-7605","7089532"
"2024-05-07T00:00:00.000","JEEP","LL","TK","SIL","BBBAD","IL","10300 S. Doty","(773) 568-8495","2968956"
"2024-04-17T00:00:00.000","CHEV","LL",,"GRN","G396746","IL","701 N. Sacramento","(773) 265-1846","1547273"
"2024-04-17T00:00:00.000","NISS","4D",,"BLK","CF51749","IL","10300 S. Doty","(773) 568-8495","2968154"
"2024-02-28T00:00:00.000","BMW","LL",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2965439"
"2024-04-27T00:00:00.000","TOYT","4T",,"BLU",,"IL","701 N. Sacramento","(773) 265-7605","7089534"
"2024-02-26T00:00:00.000","CHEV","4D",,"BLU","EP57345","IL","701 N. Sacramento","(773) 265-7605","7083877"
"2024-04-05T00:00:00.000","KIA","4D",,"SIL","AT12595","IL","10300 S. Doty","(773) 568-8495","2967712"
"2024-04-05T00:00:00.000","VOLK","4D",,"GRY",,"IL","701 N. Sacramento","(773) 265-7605","7087957"
"2024-04-22T00:00:00.000","MITS","4D",,"WHI","DQ71399","IL","701 N. Sacramento","(773) 265-7605","7089147"
"2024-05-07T00:00:00.000","DODG","4D",,"BLK","EB95456","IL","10300 S. Doty","(773) 568-8495","2968957"
"2024-04-29T00:00:00.000","GMC","LL",,"BLK","DM30453","IL","701 N. Sacramento","(773) 265-1846","1547334"
"2024-05-07T00:00:00.000","JEEP","LL",,"GRY","CD20034","IL","701 N. Sacramento","(773) 265-1846","1547389"
"2024-03-11T00:00:00.000","JEEP","LL",,"BLK","EG70185","IL","701 N. Sacramento","(773) 265-7605","7085345"
"2024-02-19T00:00:00.000","PONT","4D",,"RED","EL13936","IL","10300 S. Doty","(773) 568-8495","2964862"
"2024-02-19T00:00:00.000","KIA","4D",,"WHI","RS480","IN","10300 S. Doty","(773) 568-8495","2964863"
"2024-02-19T00:00:00.000","KIA","4D",,"SIL","654NK567","IL","701 N. Sacramento","(773) 265-7605","7083168"
"2024-03-07T00:00:00.000","DODG","LL","DUR","WHI",,"IL","10300 S. Doty","(773) 568-8495","2965934"
"2024-03-11T00:00:00.000",,,,"WHI",,"IL","701 N. Sacramento","(773) 265-7605","7085346"
"2024-03-12T00:00:00.000","DODG","LL",,"BLK",,"IL","701 N. Sacramento","(773) 265-7605","7085443"
"2024-04-11T00:00:00.000","CHEV","4D",,"DBL","EA49796","IL","701 N. Sacramento","(773) 265-7605","7088411"
"2024-04-15T00:00:00.000","CHRY","VN",,"TAN","DQ7661","IL","400 E. Lower Wacker","(312) 744-7550","0301028"
"2024-04-17T00:00:00.000","MAZD","LL",,"GRN","EB90498","IL","701 N. Sacramento","(773) 265-1846","1547274"
"2024-04-27T00:00:00.000","MAZD","4D",,"BRO","CR39051","IL","701 N. Sacramento","(773) 265-7605","7089542"
"2024-04-07T00:00:00.000","KIA","4D",,"BLU","776AB631","IL","400 E. Lower Wacker","(312) 744-7550","0300493"
"2024-04-05T00:00:00.000","NISS","4D",,"BGE","EB95723","IL","701 N. Sacramento","(773) 265-7605","7087958"
"2024-04-21T00:00:00.000","LINC","4D",,"BLK","CW74094","IL","701 N. Sacramento","(773) 265-7605","7089099"
"2024-03-11T00:00:00.000","MAZD","4D",,"BGE","EE22505","IL","701 N. Sacramento","(773) 265-7605","7085362"
"2024-05-03T00:00:00.000","JEEP","LL",,"GRY",,"IL","10300 S. Doty","(773) 568-8495","2968792"
"2024-03-29T00:00:00.000","NISS","LL",,"WHI","DY12891","IL","10300 S. Doty","(773) 568-8495","2967372"
"2024-04-18T00:00:00.000","PONT","VN",,"GRY","DT93483","IL","10300 S. Doty","(773) 568-8495","2968223"
"2024-03-29T00:00:00.000","SATR","4D",,"DBL",,"IL","10300 S. Doty","(773) 568-8495","2967373"
"2024-05-09T00:00:00.000","MERZ","VN",,"BLK","181989C","IL","701 N. Sacramento","(773) 265-7605","7090416"
"2024-05-01T00:00:00.000","CHRY","4D",,"RED","CR48267","IL","10300 S. Doty","(773) 568-8495","2968675"
"2024-03-14T00:00:00.000","HOND","4D",,"BLU","EK90138","IL","400 E. Lower Wacker","(312) 744-7550","0298981"
"2024-04-18T00:00:00.000","TOYT","4D",,"BLK","009425A8","IL","10300 S. Doty","(773) 568-8495","2968222"
"2024-03-12T00:00:00.000","MERZ","4D",,"BLK","690DEN","IN","701 N. Sacramento","(773) 265-7605","7085442"
"2024-02-20T00:00:00.000","HOND","4D",,"GRY","DT59686","IL","701 N. Sacramento","(773) 265-7605","7083277"
"2024-02-15T00:00:00.000","NISS","4T",,"GRY","FP153753","IL","701 N. Sacramento","(773) 265-7605","7082569"
"2024-03-23T00:00:00.000","DODG","4D",,"CRM",,"IL","701 N. Sacramento","(773) 265-7605","7086633"
"2024-03-12T00:00:00.000","JEEP","LK",,"BLK",,"IL","701 N. Sacramento","(773) 265-7605","7085441"
"2024-04-18T00:00:00.000","CHEV","VN",,"GRN","5982B","IN","701 N. Sacramento","(773) 265-7605","7088823"
"2024-04-29T00:00:00.000","HOND","2D",,"WHI","AQ17911","IL","400 E. Lower Wacker","(312) 744-7550","0301971"
"2024-05-01T00:00:00.000","GMC","PK",,"BLU","3271504B","IL","701 N. Sacramento","(773) 265-1846","1547351"
"2024-04-25T00:00:00.000","CHEV","4D",,"SIL","LKA241","MN","10300 S. Doty","(773) 568-8495","2968484"
"2024-05-07T00:00:00.000","KIA","4D",,"RED","CB89843","IL","701 N. Sacramento","(773) 265-7605","7090301"
"2024-04-26T00:00:00.000","SUZI","MC",,"BLK","1221446","IL","701 N. Sacramento","(773) 265-7605","7089458"
"2024-03-03T00:00:00.000","FORD","4D",,"WHI","NVWD13","FL","400 E. Lower Wacker","(312) 744-7550","0298312"
"2024-04-21T00:00:00.000","NISS","4D",,"GRY","ZZ38015","IL","10300 S. Doty","(773) 568-8495","2968346"
"2024-05-01T00:00:00.000","NISS","LL",,"BLU","EK57973","IL","701 N. Sacramento","(773) 265-7605","7089820"
"2024-02-27T00:00:00.000","FORD","4D",,"BLK","BR13451","IL","701 N. Sacramento","(773) 265-7605","7083947"
"2024-04-17T00:00:00.000","HOND","VN",,"GRY","AY49656","IL","701 N. Sacramento","(773) 265-7605","7088762"
"2024-03-28T00:00:00.000","HYUN","4D",,"RED","DW78767","IL","10300 S. Doty","(773) 568-8495","2967292"
"2024-04-27T00:00:00.000","NISS","LL",,"RED","DU77137","IL","701 N. Sacramento","(773) 265-7605","7089537"
"2024-05-09T00:00:00.000","FORD","LL",,"TAN",,,"701 N. Sacramento","(773) 265-7605","7090417"
"2024-04-11T00:00:00.000","CHEV","LL",,"DBL","EE43122","IL","10300 S. Doty","(773) 568-8495","2967937"
"2024-05-05T00:00:00.000","DODG","LL","DUR","BLK","CU83941","IL","701 N. Sacramento","(773) 265-7605","7090200"
"2024-02-16T00:00:00.000","FORD","4D",,"WHI","5978TX","IL","701 N. Sacramento","(773) 265-1846","1546981"
"2024-04-25T00:00:00.000","KIA","4D",,"YEL","CE39099","IL","701 N. Sacramento","(773) 265-7605","7089359"
"2024-05-05T00:00:00.000","HYUN","SD",,"SIL",,"IL","701 N. Sacramento","(773) 265-7605","7090202"
"2024-02-27T00:00:00.000","NISS","4D",,"RED","DQ27391","IL","701 N. Sacramento","(773) 265-7605","7083952"
"2024-05-09T00:00:00.000","HARL","MC",,"BLK","FQ4939","IL","10300 S. Doty","(773) 568-8495","2969010"
"2024-04-03T00:00:00.000","MAZD","4D",,"SIL","364YUH","CO","701 N. Sacramento","(773) 265-7605","7087881"
"2024-03-20T00:00:00.000","SUBA","LL","TK","WHI","CB47934","IL","701 N. Sacramento","(773) 265-7605","7086378"
"2024-03-18T00:00:00.000","JEEP","LL",,"GRY",,"IL","10300 S. Doty","(773) 568-8495","2966670"
"2024-04-13T00:00:00.000","CHEV","4D",,"BLK","914AB476","IL","701 N. Sacramento","(773) 265-7605","7088534"
"2024-03-03T00:00:00.000","HOND","VN",,"GRY","CL86167","IL","400 E. Lower Wacker","(312) 744-7550","0298313"
"2024-04-05T00:00:00.000","NISS","4D",,"GRY","DF36222","IL","400 E. Lower Wacker","(312) 744-7550","0300321"
"2024-03-31T00:00:00.000","JEEP","LL","TK","WHI",,,"701 N. Sacramento","(773) 265-7605","7087711"
"2024-03-06T00:00:00.000","HOND","VN",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2965818"
"2024-04-07T00:00:00.000","JEEP","LL","TK","WHI","EC48432","IL","701 N. Sacramento","(773) 265-7605","7088177"
"2024-03-07T00:00:00.000","INFI","4D",,"RED",,,"701 N. Sacramento","(773) 265-7605","7084897"
"2024-04-13T00:00:00.000","TOYT","4D",,"BLK","AZ24238","IL","400 E. Lower Wacker","(312) 744-7550","0300879"
"2024-04-13T00:00:00.000","HOND","4D",,"GRY","DZ63000","IL","701 N. Sacramento","(773) 265-7605","7088536"
"2024-03-20T00:00:00.000","FORD","4D",,"WHI","2465672B","IL","701 N. Sacramento","(773) 265-7605","7086377"
"2024-03-21T00:00:00.000","HYUN","4D",,"WHI","BG63253","IL","10300 S. Doty","(773) 785-9752","1726097"
"2024-04-18T00:00:00.000","JEEP","LL",,"GRY","S732699","IN","701 N. Sacramento","(773) 265-7605","7088826"
"2024-04-17T00:00:00.000","HYUN","4D",,"SIL","CF94794","IL","701 N. Sacramento","(773) 265-7605","7088766"
"2024-02-15T00:00:00.000","HOND","4T",,"SIL","CGE652","IN","701 N. Sacramento","(773) 265-7605","7082568"
"2024-05-07T00:00:00.000","HOND","4D",,"TAN","DG21618","IL","10300 S. Doty","(773) 785-9752","1726314"
"2024-02-27T00:00:00.000","PONT","4D",,"GRN","S441096","IN","701 N. Sacramento","(773) 265-7605","7083951"
"2024-05-07T00:00:00.000","JEEP","LL",,"BLK","BN49241","IL","701 N. Sacramento","(773) 265-1846","1547391"
"2024-04-17T00:00:00.000","DODG","LL",,"RED","DL44816","IL","10300 S. Doty","(773) 568-8495","2968157"
"2024-05-09T00:00:00.000","CHEV","PK",,"SIL","3344839B","IL","701 N. Sacramento","(773) 265-7605","7090418"
"2024-04-18T00:00:00.000","LEXS","4D",,"GRY",,"IL","10300 S. Doty","(773) 568-8495","2968225"
"2024-05-05T00:00:00.000","NISS","4D",,"GRY","EA26330","IL","701 N. Sacramento","(773) 265-7605","7090203"
"2024-02-21T00:00:00.000","ACUR","2D",,"GRN",,,"10300 S. Doty","(773) 568-8495","2965030"
"2024-05-07T00:00:00.000","HYUN","4D",,"BLK","Z538920","IL","701 N. Sacramento","(773) 265-7605","7090303"
"2024-04-27T00:00:00.000","MAZD","4D",,"TAN","DL64101","IL","701 N. Sacramento","(773) 265-7605","7089594"
"2024-02-19T00:00:00.000","INFI","4D",,"GRY","BA42109","IL","701 N. Sacramento","(773) 265-7605","7083169"
"2024-03-25T00:00:00.000","INFI","LL",,"GLD",,"IL","701 N. Sacramento","(773) 265-7605","7086992"
"2024-05-09T00:00:00.000","KIA","4D",,"SIL","EC91472","IL","10300 S. Doty","(773) 568-8495","296901"
"2024-02-27T00:00:00.000","NISS","4D",,"BLK","DA58581","IL","701 N. Sacramento","(773) 265-7605","7083955"
"2024-05-05T00:00:00.000","VOLK","4D",,"BLU","DT56022","IL","701 N. Sacramento","(773) 265-7605","7090204"
"2024-04-23T00:00:00.000","TOYT","LL",,"BLK","MVB665","IA","10300 S. Doty","(773) 785-9752","1726219"
"2024-03-20T00:00:00.000","CHEV","4D",,"GRY","478CZA","IN","10300 S. Doty","(773) 568-8495","2966773"
"2024-04-27T00:00:00.000","HOND","4T",,"GRN","EH68477","IL","701 N. Sacramento","(773) 265-7605","7089538"
"2024-03-07T00:00:00.000","JAGU","4D",,"BLK","TNM570","IN","10300 S. Doty","(773) 568-8495","2965937"
"2024-03-08T00:00:00.000","HYUN","4T",,"RED","CZ81847","IL","701 N. Sacramento","(773) 265-7605","7084986"
"2024-04-27T00:00:00.000","CHEV","4D",,"BLU","N602674","IL","701 N. Sacramento","(773) 265-7605","7089593"
"2024-05-01T00:00:00.000","FORD","LL",,"BLK","BB82146","IL","10300 S. Doty","(773) 785-9752","1726284"
"2024-03-06T00:00:00.000","GMC","LL",,"BLK","EL15033","IL","10300 S. Doty","(773) 568-8495","2965814"
"2024-03-31T00:00:00.000","NISS","4D",,"WHI","V919810","IL","400 E. Lower Wacker","(312) 744-7550","0300065"
"2024-03-18T00:00:00.000","DODG","4D",,"RED",,"IL","701 N. Sacramento","(773) 265-7605","7086302"
"2024-02-19T00:00:00.000","VOLK","LL",,"GRY","AY15872","IL","701 N. Sacramento","(773) 265-7605","7083186"
"2024-05-01T00:00:00.000","KIA","LL",,"SIL","EH32369","IL","10300 S. Doty","(773) 785-9752","1726285"
"2024-05-01T00:00:00.000","DODG","4D",,"GRY","EG81180","IL","10300 S. Doty","(773) 568-8495","2968668"
"2024-02-19T00:00:00.000","KIA","LL",,"BLK","DX20895","IL","701 N. Sacramento","(773) 265-7605","7083172"
"2024-05-01T00:00:00.000","DODG","4D",,"GRY","DK44379","IL","10300 S. Doty","(773) 568-8495","2968676"
"2024-05-03T00:00:00.000","JEEP","LL",,"GRY","BK61226","IL","10300 S. Doty","(773) 568-8495","2968795"
"2024-04-02T00:00:00.000","CHEV","2D","CAV","RED","BZ23812","IL","Chicago O'hare International Airport remote lot E.","(312) 746-6350","416442"
"2024-04-02T00:00:00.000","FORD","4D",,"BLK",,"IL","10300 S. Doty","(773) 785-9752","1726130"
"2024-04-02T00:00:00.000","KIA","4D",,"BLK","BY45092","IL","10300 S. Doty","(773) 785-9752","1726133"
"2024-04-02T00:00:00.000","TOYT","4D",,"RED",,"IL","10300 S. Doty","(773) 785-9752","1726132"
"2024-04-14T00:00:00.000","KIA","4D",,"BLK","8LLF178","CA","701 N. Sacramento","(773) 265-7605","7088562"
"2024-04-05T00:00:00.000","KIA","4D",,"BLK","EQ89728","IL","400 E. Lower Wacker","(312) 744-7550","0300324"
"2024-04-02T00:00:00.000","BMW","4D",,"BLK","EE45143","IL","Chicago O'hare International Airport remote lot E.","(312) 746-6350","416444"
"2024-02-29T00:00:00.000","NISS","4D","SEN","BGE",,"IL","701 N. Sacramento","(773) 265-7605","7084164"
"2024-05-01T00:00:00.000","LINC","4D",,"PLE","19818WS","IL","701 N. Sacramento","(773) 265-7605","7089821"
"2024-04-09T00:00:00.000","FORD","2D",,"GRY","CHOQLC","CO","10300 S. Doty","(773) 785-9752","1726161"
"2024-04-18T00:00:00.000","KIA","4D",,"SIL",,"IL","10300 S. Doty","(773) 568-8495","2968226"
"2024-03-12T00:00:00.000","FORD","LL",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2966236"
"2024-05-03T00:00:00.000","LEXS","LL",,"WHI","EA65253","IL","10300 S. Doty","(773) 785-9752","1726298"
"2024-04-13T00:00:00.000","TOYT","4D",,"DBL","EA34966","IL","701 N. Sacramento","(773) 265-7605","7088537"
"2024-04-27T00:00:00.000","CHEV","4D",,"RED","CL44729","IL","10300 S. Doty","(773) 568-8495","2968546"
"2024-04-09T00:00:00.000","CHEV","4D",,"WHI","CW86932","IL","701 N. Sacramento","(773) 265-7605","7088274"
"2024-04-27T00:00:00.000","VW","4D",,"BLK","EJ83972","IL","10300 S. Doty","(773) 568-8495","2968549"
"2024-03-31T00:00:00.000","FORD","4D",,"GRY",,"IL","701 N. Sacramento","(773) 265-7605","7087718"
"2024-03-13T00:00:00.000","DODG","VA",,,"EH57497","IL","701 N. Sacramento","(773) 265-7605","7085558"
"2024-04-27T00:00:00.000","CHEV","LL",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2968548"
"2024-04-17T00:00:00.000","CADI","LL",,"BLK","7913IP","IL","701 N. Sacramento","(773) 265-1846","1547275"
"2024-03-13T00:00:00.000","VOLK","4D",,"BLK","DJ45343","IL","701 N. Sacramento","(773) 265-7605","7085556"
"2024-05-01T00:00:00.000","NISS","4D",,"BLK",,,"701 N. Sacramento","(773) 265-7605","7089822"
"2024-04-09T00:00:00.000","DODG","4D",,"GRY","K709121","IL","400 E. Lower Wacker","(312) 744-7550","0300629"
"2024-04-18T00:00:00.000","FORD","4D",,"GLD","CB70591","IL","701 N. Sacramento","(773) 265-7605","7088827"
"2024-03-31T00:00:00.000","FORD","4D",,"RED","EF22047","IL","10300 S. Doty","(773) 568-8495","2967466"
"2024-04-27T00:00:00.000","FORD","4D",,"BLU","K837471","IL","10300 S. Doty","(773) 568-8495","2968547"
"2024-02-15T00:00:00.000","VOLK","LL",,"BLU","DY90858","IL","10300 S. Doty","(773) 568-8495","2264640"
"2024-04-13T00:00:00.000","KIA","LL",,"GRY",,"IL","701 N. Sacramento","(773) 265-7605","7088539"
"2024-02-28T00:00:00.000","HOND","2D",,"BLK",,"IL","701 N. Sacramento","(773) 265-7605","7084013"
"2024-04-21T00:00:00.000","CHEV","VN",,"GLD","3641228B","IL","10300 S. Doty","(773) 568-8495","2968352"
"2024-02-19T00:00:00.000","PONT","4D",,"SIL",,"IL","10300 S. Doty","(773) 568-8495","2964870"
"2024-04-05T00:00:00.000","FORD","4D",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2967715"
"2024-03-13T00:00:00.000","HOND","4D",,"GRY","BRM3019","TN","701 N. Sacramento","(773) 265-7605","7085557"
"2024-02-28T00:00:00.000","HOND","2D",,"RED","EE52938","IL","701 N. Sacramento","(773) 265-7605","7084012"
"2024-02-20T00:00:00.000","AUDI","4D",,"BLK","CJG922","IN","10300 S. Doty","(773) 568-8495","2964957"
"2024-03-25T00:00:00.000","CHEV","LL",,"WHI","804AB263","IL","10300 S. Doty","(773) 568-8495","2967138"
"2024-05-01T00:00:00.000","HOND","VN",,"SIL","CM13386","IL","701 N. Sacramento","(773) 265-7605","7089823"
"2024-04-25T00:00:00.000","FORD","4D",,"BLK","DN26659","IL","10300 S. Doty","(773) 568-8495","2968426"
"2024-05-09T00:00:00.000","VOLV","4D",,"SIL","11391WT","IL","10300 S. Doty","(773) 568-8495","2969012"
"2024-03-14T00:00:00.000","NISS","LL",,"GRY","964221","IL","400 E. Lower Wacker","(312) 744-7550","0298985"
"2024-05-03T00:00:00.000","NISS","VN",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2968801"
"2024-03-14T00:00:00.000","VOLK","LL",,"WHI","CQ14600","IL","400 E. Lower Wacker","(312) 744-7550","0298989"
"2024-04-09T00:00:00.000","CHEV","4D",,"BLU","EF32778","IL","10300 S. Doty","(773) 785-9752","1726160"
"2024-05-07T00:00:00.000","HYUN","4D",,"RED","CX59262","IL","10300 S. Doty","(773) 568-8495","2968958"
"2024-05-02T00:00:00.000","TOYT","LL",,"WHI","SIFULE","IL","701 N. Sacramento","(773) 265-7605","7089842"
"2024-05-03T00:00:00.000","ACUR","4D",,"BLK",,"IL","10300 S. Doty","(773) 785-9752","1726297"
"2024-03-31T00:00:00.000","DODG","2D",,"BLK",,"IL","10300 S. Doty","(773) 568-8495","2967468"
"2024-03-13T00:00:00.000","HOND","4D",,"GRY","DU33177","IL","701 N. Sacramento","(773) 265-7605","7085560"
