"id","license_id","account_number","site_number","legal_name","doing_business_as_name","address","city","state","zip_code","ward","precinct","ward_precinct","police_district","license_code","license_description","business_activity_id","business_activity","license_number","application_type","application_created_date","application_requirements_complete","payment_date","conditional_approval","license_start_date","expiration_date","license_approved_for_issuance","date_issued","license_status","license_status_change_date","ssa","latitude","longitude","location"
"78446-20010216","1115264","67310","1","360NETWORKS (USA) INC.","360NETWORKS (USA) INC.","12202  AIRPORT WAY  300","BROOMFIELD","CO","80021",,,,,"1010","Limited Business License",,,"78446","RENEW","2000-12-18T00:00:00.000","2000-12-19T00:00:00.000","2008-04-22T00:00:00.000","N","2001-02-16T00:00:00.000","2002-02-15T00:00:00.000","2003-12-22T00:00:00.000","2007-07-30T00:00:00.000","AAI",,,,,
"1140501-20100511","1140501","213133","1","MICHAEL BRUCE VLASEK","MIKE VLASEK INC","7305 W 157TH ST 3RD 3B","ORLAND PARK","IL","60462",,,,,"1010","Limited Business License",,,"1140501","ISSUE","2001-04-12T00:00:00.000","2001-04-12T00:00:00.000","2001-04-12T00:00:00.000","N","2010-05-11T00:00:00.000","2005-02-15T00:00:00.000","2003-01-06T00:00:00.000","2010-05-11T00:00:00.000","AAI",,,,,
"83699-20010216","1115778","68530","1","URGENT HEATING & COOLING CORP.","URGENT HEATING","560  CHESTER AVE  1ST","ELGIN","IL","60120",,,,,"1010","Limited Business License",,,"83699","RENEW","2000-12-18T00:00:00.000","2000-12-19T00:00:00.000","2001-01-31T00:00:00.000","N","2001-02-16T00:00:00.000","2002-02-15T00:00:00.000","2001-01-31T00:00:00.000","2008-06-16T00:00:00.000","AAI",,,,,
"1140502-20100511","1140502","213133","1","MICHAEL BRUCE VLASEK","MIKE VLASEK INC","7305 W 157TH ST 3RD 3B","ORLAND PARK","IL","60462",,,,,"1011","Home Repair",,,"1140502","ISSUE","2001-04-12T00:00:00.000","2001-04-12T00:00:00.000","2001-04-12T00:00:00.000","N","2010-05-11T00:00:00.000","2002-02-15T00:00:00.000","2001-09-18T00:00:00.000","2010-05-11T00:00:00.000","AAI",,,,,
"1621057-20150316","2375471","22721","1","GEM COMMERCIAL INC","GEM COMMERCIAL INC","1302  INDUSTRIAL DR  UNITA","ITASCA","IL","60143",,,,,"1010","Limited Business License",,,"1621057","RENEW",,"2015-01-16T00:00:00.000","2015-02-11T00:00:00.000","N","2015-03-16T00:00:00.000","2017-03-15T00:00:00.000","2015-02-11T00:00:00.000","2015-02-13T00:00:00.000","AAI",,,,,
"44918-20011116","1172795","465","2","MILLARD MAINTENANCE SERVICE CO","STANDARD WINDOW CLEANING CO","7301 N CICERO AVE  1ST","LINCOLNWOOD","IL","60646",,,,,"1010","Limited Business License",,,"44918","RENEW",,"2001-10-03T00:00:00.000","2006-07-26T00:00:00.000","N","2001-11-16T00:00:00.000","2002-11-15T00:00:00.000","2003-12-22T00:00:00.000","2006-08-16T00:00:00.000","AAI",,,,,
"1932-20220916","2858248","62544","18","HYATT CORPORATION","STETSON'S","151 E WACKER DR  PLAZA","CHICAGO","IL","60601","42","44","42-44","1","1006","Retail Food Establishment","775","Retail Sales of Perishable Foods","1932","RENEW",,"2022-07-15T00:00:00.000","2022-08-05T00:00:00.000","N","2022-09-16T00:00:00.000","2024-09-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,,,
"69904-20020216","1202098","21298","2","ILLINOIS QUALITY BUILDERS","ILL QUALITY BUILDERS","600  LOCUST   1ST F","WILMETTE","IL","60091",,,,,"1010","Limited Business License",,,"69904","RENEW",,"2001-12-20T00:00:00.000","2002-02-15T00:00:00.000","N","2002-02-16T00:00:00.000","2003-02-15T00:00:00.000","2002-02-15T00:00:00.000","2010-05-11T00:00:00.000","AAI",,,,,
"37359-20160416","2448239","54581","1","HAGEN DECORATORS, INC.","NORTH CENTRAL INSULATION","3204  PLEASANT ST  1ST","ALTOONA","WI","54720",,,,,"1010","Limited Business License",,,"37359","RENEW",,"2016-02-15T00:00:00.000","2016-03-24T00:00:00.000","N","2016-04-16T00:00:00.000","2018-04-15T00:00:00.000","2016-03-24T00:00:00.000","2016-03-25T00:00:00.000","AAI",,,,,
"55014-20020216","1201283","18088","3","AMERITECH COMMUNICATIONS INC","AMERITECH COMMUNICATIONS INC","9525 W BRYN MAWR AVE  600","ROSEMONT","IL","60018",,,,,"1010","Limited Business License",,,"55014","RENEW",,"2001-12-20T00:00:00.000","2002-03-12T00:00:00.000","N","2002-02-16T00:00:00.000","2003-02-15T00:00:00.000","2002-04-30T00:00:00.000","2010-04-28T00:00:00.000","AAI",,,,,
"37444-20020216","1205853","33414","1","MAESTRO GENERAL CONTRACTOR, IN","MAESTRO GENERAL CONTRACTOR, IN","411  SPRINGHILL DR  HOME","ROSELLE","IL","60172",,,,,"1011","Home Repair",,,"37444","RENEW",,"2001-12-20T00:00:00.000","2002-02-19T00:00:00.000","N","2002-02-16T00:00:00.000","2003-02-15T00:00:00.000","2003-06-11T00:00:00.000","2009-09-18T00:00:00.000","AAI",,,,,
"17129-20020216","1215056","85715","2","FCI CONSTRUCTION INC","FCI CONTRUCTION, INC.","735 N YALE   A","VILLA PARK","IL","60181",,,,,"1010","Limited Business License",,,"17129","RENEW",,"2001-12-20T00:00:00.000","2002-01-22T00:00:00.000","N","2002-02-16T00:00:00.000","2003-02-15T00:00:00.000","2002-01-22T00:00:00.000","2006-06-07T00:00:00.000","AAI",,,,,
"71647-20030216","1309915","21652","1","GEMINI HEATING & AIR CONDITIONING INC.","GEMINI HTG & AIR CONDITIONING","8  FRANCES CT  1ST","BUFFALO GROVE","IL","60089",,,,,"1011","Home Repair",,,"71647","RENEW",,"2002-12-17T00:00:00.000","2003-03-11T00:00:00.000","N","2003-02-16T00:00:00.000","2004-02-15T00:00:00.000","2003-12-22T00:00:00.000","2007-10-03T00:00:00.000","AAI",,,,,
"1594885-20060216","1652038","7700","1","WARNING CHARTER SERVICE INC","WARNING CHARTER SERVICE INC","4845 W 167TH ST  300","OAK FOREST","IL","60452",,,,,"1010","Limited Business License",,,"1594885","RENEW",,"2005-12-21T00:00:00.000","2006-02-23T00:00:00.000","N","2006-02-16T00:00:00.000","2007-02-15T00:00:00.000","2006-02-23T00:00:00.000","2008-06-18T00:00:00.000","AAI",,,,,
"37443-20030216","1313198","33414","1","MAESTRO GENERAL CONTRACTOR, IN","MAESTRO GENERAL CONTRACTOR, IN","411  SPRINGHILL DR  HOME","ROSELLE","IL","60172",,,,,"1010","Limited Business License",,,"37443","RENEW",,"2002-12-17T00:00:00.000","2003-03-31T00:00:00.000","N","2003-02-16T00:00:00.000","2004-02-15T00:00:00.000","2003-12-22T00:00:00.000","2009-09-18T00:00:00.000","AAI",,,,,
"2205100-20220516","2836870","50840","1","AIDA & METANIOS ELRASSI","STATE AMUSEMENT","8468 N GROSSPOINT  1ST","SKOKIE","IL","60077",,,,,"4404","Regulated Business License","645","Distribution, Placing, Leasing or Sales of Automatic Amusement Devices","2205100","RENEW",,"2022-03-15T00:00:00.000","2022-05-10T00:00:00.000","N","2022-05-16T00:00:00.000","2024-05-15T00:00:00.000","2022-05-10T00:00:00.000","2022-05-11T00:00:00.000","AAI",,,,,
"2617269-20220916","2857496","1611","5","TTX COMPANY","TTX COMPANY","4016 S ASHLAND AVE","CHICAGO","IL","60609","12","19","12-19","9","1010","Limited Business License","708","Miscellaneous Commercial Services","2617269","RENEW",,"2022-07-15T00:00:00.000","2022-08-05T00:00:00.000","N","2022-09-16T00:00:00.000","2024-09-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,"41.820284936","-87.665396822","
,  
(41.82028493557808, -87.66539682158037)"
"2652692-20201217","2652692","456833","1","JYM INVESTMENTS LLC","WINGMAN","2321 W HOWARD ST 1ST","CHICAGO","IL","60645","49","21","49-21","24","1006","Retail Food Establishment","781","Sale of Food Prepared Onsite With Dining Area","2652692","ISSUE","2019-03-01T00:00:00.000","2020-11-18T00:00:00.000","2020-11-19T00:00:00.000","N","2020-12-17T00:00:00.000","2023-01-15T00:00:00.000","2020-12-16T00:00:00.000","2020-12-17T00:00:00.000","AAC","2022-08-08T00:00:00.000",,"42.019413271","-87.688628188","
,  
(42.019413270594214, -87.68862818775574)"
"1579838-20220616","2842924","289144","1","1021 MONTROSE, L.L.C.","Driftwood","1021 W MONTROSE AVE","CHICAGO","IL","60613","46","9","46-9","19","1470","Tavern","829","Tavern - Consumption of Liquor on Premise","1579838","RENEW",,"2022-04-15T00:00:00.000","2022-05-10T00:00:00.000","N","2022-06-16T00:00:00.000","2024-06-15T00:00:00.000","2022-05-10T00:00:00.000","2022-05-11T00:00:00.000","AAI",,"34","41.961655309","-87.655649945","
,  
(41.961655308981946, -87.65564994485091)"
"2027540-20220616","2841687","10726","5","GRAHAM ENTERPRISE INC","Rock N Roll BP (GEI-157)","631-647 N LA SALLE DR","CHICAGO","IL","60654","42","46","42-46","18","1275","Filling Station","666","Operation of a Fuel Filling Station","2027540","RENEW",,"2022-04-15T00:00:00.000","2022-05-10T00:00:00.000","N","2022-06-16T00:00:00.000","2024-06-15T00:00:00.000","2022-05-10T00:00:00.000","2022-05-11T00:00:00.000","AAI",,,"41.893251198","-87.632493012","
,  
(41.89325119846543, -87.63249301222938)"
"1899783-20090316","1953094","330192","1","ELIAS A. KANELLOPOULOS","RITZ CLEANERS","200 E DELAWARE PL 1","CHICAGO","IL","60611","2","13","2-13","18","1010","Limited Business License",,,"1899783","RENEW",,"2009-01-15T00:00:00.000","2009-02-20T00:00:00.000","N","2009-03-16T00:00:00.000","2011-03-15T00:00:00.000","2009-02-20T00:00:00.000","2009-02-23T00:00:00.000","AAI",,,"41.899354739","-87.621791302","
,  
(41.89935473944382, -87.621791301926)"
"1899783-20110316","2078221","330192","1","ELIAS A. KANELLOPOULOS","RITZ CLEANERS","200 E DELAWARE PL 1","CHICAGO","IL","60611","2","13","2-13","18","1010","Limited Business License",,,"1899783","RENEW",,"2011-01-14T00:00:00.000","2011-02-14T00:00:00.000","N","2011-03-16T00:00:00.000","2013-03-15T00:00:00.000","2011-02-14T00:00:00.000","2011-02-15T00:00:00.000","AAI",,,"41.899354739","-87.621791302","
,  
(41.89935473944382, -87.621791301926)"
"2863350-20220808","2863350","488437","1","DOMONANT MEDIA LLC","DOMONANT MEDIA","1200 W 35TH ST 3RD 3A3130","CHICAGO","IL","60609","11","11","11-11","9","1010","Limited Business License","476 | 1089","Photography Services | Multi-Media Services","2863350","ISSUE","2022-08-08T00:00:00.000","2022-08-08T00:00:00.000","2022-08-08T00:00:00.000","N","2022-08-08T00:00:00.000","2024-08-15T00:00:00.000","2022-08-08T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,"41.830728826","-87.655813252","
,  
(41.830728825995436, -87.65581325202945)"
"36311-20030216","1307168","5392","3","FUJITEC AMERICA INC","FUJITEC AMERICA INC","1225  GREENBRIAR DR  G","ADDISON","IL","60101",,,,,"1010","Limited Business License",,,"36311","RENEW",,"2002-12-17T00:00:00.000","2003-01-08T00:00:00.000","N","2003-02-16T00:00:00.000","2004-02-15T00:00:00.000","2003-01-08T00:00:00.000","2008-12-18T00:00:00.000","AAI",,,,,
"2477179-20200716","2731774","408244","1","NAIL JUNKIE ROSCOE, INC.","NAIL JUNKIE ROSCOE, INC.","2127 W BELMONT AVE 1","CHICAGO","IL","60618","32","45","32-45","19","1010","Limited Business License","895","Nail Services","2477179","RENEW",,"2020-05-15T00:00:00.000","2020-07-21T00:00:00.000","N","2020-07-16T00:00:00.000","2022-07-15T00:00:00.000","2020-07-21T00:00:00.000","2020-07-22T00:00:00.000","AAC","2022-05-11T00:00:00.000",,"41.939420519","-87.681875251","
,  
(41.93942051904007, -87.68187525122258)"
"1170911-20030216","1307340","6402","3","ICC ENTERPRISES","ICC ENTERPRISES","601 W CAMPUS DR  B3","ARLINGTON HEIGHTS","IL","60004",,,,,"1010","Limited Business License",,,"1170911","RENEW",,"2002-12-17T00:00:00.000","2003-03-12T00:00:00.000","N","2003-02-16T00:00:00.000","2004-02-15T00:00:00.000","2003-03-12T00:00:00.000","2006-07-25T00:00:00.000","AAI",,,,,
"2009364-20200616","2726245","349503","1","CHICAGO CUBS BASEBALL CLUB, LLC","CHICAGO CUBS","1060 W ADDISON ST 1ST","CHICAGO","IL","60613","44","31","44-31","19","1050","Public Place of Amusement","743","Provides Onsite Amusement or Entertainment","2009364","RENEW",,"2020-04-15T00:00:00.000","2020-08-07T00:00:00.000","N","2020-06-16T00:00:00.000","2022-06-15T00:00:00.000","2020-08-07T00:00:00.000","2022-05-11T00:00:00.000","AAI",,"17","41.947317489","-87.656417948","
,  
(41.94731748901495, -87.65641794764645)"
"1939-20220916","2858243","62544","9","HYATT CORPORATION","EAST TOWER MAIN KITCHEN","151 E WACKER DR  L","CHICAGO","IL","60601","42","44","42-44","1","1006","Retail Food Establishment","775","Retail Sales of Perishable Foods","1939","RENEW",,"2022-07-15T00:00:00.000","2022-08-05T00:00:00.000","N","2022-09-16T00:00:00.000","2024-09-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,"41.887999887","-87.622565133","
,  
(41.88799988734853, -87.62256513255957)"
"69793-20030216","1309805","21274","3","UNIVANCE TELECOMMUNICATIONS,IN","UNIVANCE TELECOMMUNICATIONS IN","373  INVERNESS SOUTH DR  100","ENGLEWOOD","CO","80112",,,,,"1010","Limited Business License",,,"69793","RENEW",,"2002-12-17T00:00:00.000","2003-03-17T00:00:00.000","N","2003-02-16T00:00:00.000","2004-02-15T00:00:00.000","2003-03-26T00:00:00.000","2010-05-11T00:00:00.000","AAI",,,,,
"1968629-20220616","2841685","10726","3","GRAHAM ENTERPRISE INC","Chicago BP@Irving (GEI-152)","841 W IRVING PARK RD","CHICAGO","IL","60613","46","10","46-10","19","1781","Tobacco","763","Retail Sale of Tobacco","1968629","RENEW",,"2022-04-15T00:00:00.000","2022-05-10T00:00:00.000","N","2022-06-16T00:00:00.000","2023-06-15T00:00:00.000","2022-05-10T00:00:00.000","2022-05-11T00:00:00.000","AAI",,"18","41.954425019","-87.651324017","
,  
(41.95442501861227, -87.65132401707042)"
"2594594-20180417","2594594","426783","1","HALLE LEONARD","HALLE LEONARD","[REDACTED FOR PRIVACY]","CHICAGO","IL","60614","43","29","43-29","18","7009","Pharmaceutical Representative","990","Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year","2594594","ISSUE","2018-04-16T00:00:00.000","2018-04-16T00:00:00.000","2018-04-16T00:00:00.000","N","2018-04-17T00:00:00.000","2019-05-15T00:00:00.000","2018-04-16T00:00:00.000","2018-04-17T00:00:00.000","AAI",,,,,
"1938-20220916","2858242","62544","8","HYATT CORPORATION","THE GALLERY","151 E WACKER DR  SKYWA","CHICAGO","IL","60601","42","44","42-44","1","1475","Consumption on Premises - Incidental Activity","638","Consumption of Liquor on Premises","1938","RENEW",,"2022-07-15T00:00:00.000","2022-08-05T00:00:00.000","N","2022-09-16T00:00:00.000","2024-09-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,"41.887999887","-87.622565133","
,  
(41.88799988734853, -87.62256513255957)"
"2055080-20220916","2860372","356337","1","PRIMERA IRON WORKS CORP.","PRIMERA IRON WORKS CORP.","855 N CICERO AVE 1","CHICAGO","IL","60651","37","21","37-21","11","1010","Limited Business License",,,"2055080","RENEW",,"2022-07-15T00:00:00.000","2022-08-05T00:00:00.000","N","2022-09-16T00:00:00.000","2024-09-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,"41.896742416","-87.745703326","
,  
(41.8967424164436, -87.74570332642313)"
"1899785-20210316","2769221","330192","2","ELIAS A. KANELLOPOULOS","GOLD COAST CLEANERS","900 N LAKE SHORE DR 1","CHICAGO","IL","60611","2","29","2-29","18","1010","Limited Business License","648","Dry Cleaning - Drop Off Location","1899785","RENEW",,"2021-01-15T00:00:00.000","2021-03-04T00:00:00.000","N","2021-03-16T00:00:00.000","2023-03-15T00:00:00.000","2021-03-04T00:00:00.000","2022-05-11T00:00:00.000","AAI",,,"41.899280991","-87.618894512","
,  
(41.899280990919685, -87.61889451230181)"
"1145136-20220916","2857739","14479","2","THE BUTLER DID IT INC.","ENTERTAINING COMPANY","1640 W WALNUT ST","CHICAGO","IL","60612","27","33","27-33","12","1481","Caterer's Liquor License","630","Catering of Liquor To Events","1145136","RENEW",,"2022-07-15T00:00:00.000","2022-08-05T00:00:00.000","N","2022-09-16T00:00:00.000","2024-09-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,"41.886238989","-87.66859588","
,  
(41.886238989108286, -87.66859587973032)"
"2548725-20220816","2855099","419075","1","ALISON MELE","ALISON MELE","[REDACTED FOR PRIVACY]","TINLEY PARK","IL","60487",,,,,"7009","Pharmaceutical Representative","990","Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year","2548725","RENEW",,"2022-06-15T00:00:00.000","2022-08-05T00:00:00.000","N","2022-08-16T00:00:00.000","2023-08-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,,,
"2594594-20210516","2779990","426783","1","HALLE LEONARD","HALLE LEONARD","[REDACTED FOR PRIVACY]","CHICAGO","IL","60614","43","29","43-29","18","7009","Pharmaceutical Representative","990","Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year","2594594","RENEW",,"2021-03-15T00:00:00.000","2021-06-16T00:00:00.000","N","2021-05-16T00:00:00.000","2022-05-15T00:00:00.000","2021-06-16T00:00:00.000","2021-06-17T00:00:00.000","AAI",,,,,
"2846205-20220511","2846205","485684","1","SUPREME RIMS & TIRES INC.","SUPREME RIMS & TIRES INC.","4163 S ARCHER AVE 1ST","CHICAGO","IL","60632","12","13","12-13","9","1010","Limited Business License","792","Sale of Vehicle Parts and Accessories","2846205","ISSUE","2022-05-11T00:00:00.000","2022-05-11T00:00:00.000","2022-05-11T00:00:00.000","N","2022-05-11T00:00:00.000","2024-05-15T00:00:00.000","2022-05-11T00:00:00.000","2022-05-11T00:00:00.000","AAI",,"39","41.817770713","-87.698006394","
,  
(41.81777071313062, -87.69800639403326)"
"2780957-20220416","2833895","390575","2","DINEAMIC STEAK, LLC","PRIME & PROVISIONS","222 N LA SALLE ST 1-2","CHICAGO","IL","60601","42","9","42-9","1","1781","Tobacco","776 | 937","Retail Sales of Tobacco Products | Retail Sales of Tobacco and Flavored Tobacco Products","2780957","RENEW",,"2022-02-15T00:00:00.000","2022-05-06T00:00:00.000","N","2022-04-16T00:00:00.000","2023-04-15T00:00:00.000","2022-05-06T00:00:00.000","2022-05-11T00:00:00.000","AAI",,,"41.886351604","-87.632613946","
,  
(41.886351604488574, -87.63261394551859)"
"2321004-20220816","2854072","355521","15","BRIGHT HORIZONS CHILDREN'S CENTERS LLC","Bright Horizons at Clybourn","1425 N DAYTON ST 1ST","CHICAGO","IL","60642","27","46","27-46","18","1023","Children's Services Facility License","820 | 823","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm","2321004","RENEW",,"2022-06-15T00:00:00.000","2022-06-23T00:00:00.000","N","2022-08-16T00:00:00.000","2024-08-15T00:00:00.000","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","AAI",,,"41.907156887","-87.649259472","
,  
(41.9071568870692, -87.64925947162907)"
"2293833-20220516","2838574","386117","1","FLYING SQUIRREL INDUSTRIES LLC","SLIPPERY SLOPE","2357 N MILWAUKEE AVE 1 & 2","CHICAGO","IL","60647","1","10","1-10","14","1470","Tavern","829","Tavern - Consumption of Liquor on Premise","2293833","RENEW",,"2022-03-15T00:00:00.000","2022-05-11T00:00:00.000","N","2022-05-16T00:00:00.000","2024-05-15T00:00:00.000","2022-05-11T00:00:00.000","2022-05-11T00:00:00.000","AAI",,,"41.924150306","-87.699150883","
,  
(41.92415030562805, -87.69915088269197)"
